dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total
11117,-0.036,-3.785,"Noh, S.Y.",-0.18,0.116,-0.495,0.13,-0.429
30463,-0.048,8.84,"Surratt, Caleb",-0.209,-0.303,0.031,0.046,-0.434
13497,0.006,-1.448,"Lee, K.H.",-0.244,0.027,-0.044,-0.175,-0.436
19865,-0.024,5.251,"Hardy, Nick",0.03,-0.24,0.068,-0.308,-0.45
11396,0.064,-12.905,"Ramsay, Richie",-0.168,0.03,-0.181,-0.135,-0.454
20448,0.042,-7.891,"Katsuragawa, Yuto",-0.133,-0.061,-0.106,-0.157,-0.458
18027,0.059,-6.236,"Kimsey, Nathan",-0.422,-0.106,0.032,0.038,-0.459
11955,-0.051,4.686,"Frittelli, Dylan",-0.122,0.083,-0.076,-0.344,-0.46
14666,0.026,-0.552,"Johnston, Andrew",-0.287,-0.164,0.105,-0.114,-0.46
14975,0.108,-15.822,"Otaegui, Adrian",0.03,0.028,-0.179,-0.357,-0.478
14007,0.021,-6.326,"Martin, Ben",0.016,-0.188,-0.133,-0.175,-0.479
13470,0.003,-3.38,"Kizzire, Patton",-0.128,0.091,-0.228,-0.217,-0.481
12522,0.001,-3.964,"Schneider, Marcel",-0.167,-0.07,-0.133,-0.112,-0.481
22535,-0.019,10.112,"Norrman, Vincent",0.04,-0.218,0.251,-0.56,-0.488
18722,0.003,-2.577,"Gouveia, Ricardo",-0.069,-0.18,-0.073,-0.167,-0.488
7334,0.007,7.885,"Watson, Bubba",-0.459,-0.238,0.358,-0.155,-0.494
14140,-0.025,5.587,"Higgs, Harry",-0.449,-0.172,0.196,-0.075,-0.501
17813,-0.028,-3.701,"Armitage, Marcus",0.088,0.054,-0.3,-0.35,-0.508
7033,0.035,-10.994,"Molinari, Edoardo",-0.295,-0.01,-0.146,-0.057,-0.508
23542,-0.021,17.387,"Champ, Cameron",-0.536,-0.414,0.542,-0.102,-0.511
12920,-0.019,-5.105,"Willett, Danny",-0.375,0.156,-0.35,0.037,-0.533
17639,0.056,-18.021,"Blair, Zac",-0.005,0.067,-0.441,-0.159,-0.538
14018,0.025,-8.165,"Dantorp, Jens",-0.29,-0.153,-0.161,0.061,-0.543
19635,-0.08,12.642,"Cantero Gutierrez, Ivan",-0.381,-0.061,0.179,-0.288,-0.551
8605,-0.041,-1.198,"Jones, Matt",-0.28,-0.001,-0.261,-0.011,-0.554
24127,0.017,-4.097,"Hidalgo, Angel",-0.33,0.04,0.014,-0.279,-0.555
19866,-0.029,1.709,"Horsfield, Sam",-0.205,-0.141,-0.259,0.044,-0.56
26660,-0.02,8.007,"Gordon, Will",-0.179,-0.192,0.153,-0.343,-0.561
28270,-0.107,1.61,"Dunlap, Nick",0.067,0.089,-1.026,0.304,-0.565
25919,-0.057,16.139,"Wolff, Matthew",-0.329,-0.166,0.214,-0.302,-0.583
13831,0.016,-13.165,"Knox, Russell",0.054,0.012,-0.439,-0.214,-0.586
28157,-0.001,1.432,"Vaillant, Tom",-0.411,-0.091,0.037,-0.126,-0.591
14373,0.036,-18.775,"Campbell, Ben",-0.247,-0.118,-0.609,0.38,-0.594
8480,0.017,-6.185,"Streelman, Kevin",-0.158,-0.048,-0.173,-0.216,-0.596
16497,-0.017,4.444,"Dean, Joe",-0.227,-0.198,0.01,-0.196,-0.61
23610,-0.021,2.944,"Crocker, Sean",-0.127,-0.204,-0.074,-0.211,-0.615
16757,-0.05,3.669,"Dou, Zecheng",-0.238,-0.045,-0.145,-0.194,-0.622
9842,0.072,-6.288,"Zanotti, Fabrizio",-0.23,-0.187,0.12,-0.325,-0.622
26947,-0.022,1.939,"Jarvis, Casey",-0.036,-0.183,-0.086,-0.321,-0.626
11397,-0.004,-1.707,"Jamieson, Scott",-0.35,-0.078,-0.194,-0.008,-0.63
8820,0.063,-17.741,"Snedeker, Brandt",-0.474,0.029,-0.47,0.285,-0.63
26213,-0.04,-0.705,"Ko, Jeong Weon",-0.434,-0.009,-0.197,0.003,-0.638
8085,0.012,-2.468,"Teater, Josh",-0.124,-0.14,0.059,-0.446,-0.652
7655,0.052,-9.824,"Molinari, Francesco",-0.02,-0.202,-0.21,-0.222,-0.653
12530,-0.019,-0.684,"Green, Gavin",-0.249,-0.212,-0.242,0.043,-0.659
19738,-0.058,16.712,"Dougherty, Kevin",-0.504,-0.237,0.42,-0.348,-0.668
7489,0.078,-14.353,"Moore, Ryan",-0.026,0.006,-0.278,-0.374,-0.672
12988,-0.022,-7.511,"Elvira Mijares, Ignacio",-0.276,-0.059,-0.487,0.145,-0.676
16433,0.019,-3.416,"NeSmith, Matt",-0.273,-0.128,-0.165,-0.121,-0.687
12734,0.018,-10.804,"Scrivener, Jason",-0.383,-0.121,-0.359,0.166,-0.697
20353,0.018,-4.06,"Whitney, Tom",-0.031,-0.209,-0.025,-0.437,-0.702
