am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,event_fit_score,rank,course_history_score,bet365_odds,baseline,baseline_history_fit,driving_dist,driving_acc,datagolf_rank,sg_current_form_score,your_model_score,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent
0,USA,14577,1.0,Harris English,150,7.73,4.28,3.6,3.1,16.94,110.5,0.105,50.0,1.958,71.0,110.49723756906076,89.02077151335338,1.007,0.019,41,0.0532,0.59016,0.59016,0.00904977375565611,0.014084507042253521,0.011962072054400669,83.59755696607051,-0.0021224349878528528,-1.506928841375526,-15.069288413755261
0,USA,26096,1.0,Akshay Bhatia,150,6.34,3.64,3.1,2.7,13.12,77.62,0.289,33.0,2.25,61.0,77.61966364812439,82.3045267489712,-0.718,0.032,30,-0.031100000000000003,0.6087699999999999,0.6087699999999999,0.012883277505797474,0.01639344262295082,0.013403720837797707,74.60614944919314,-0.0029897217851531134,-1.8237302889433984,-18.237302889433984
0,NOR,18841,1.0,Viktor Hovland,150,5.43,3.32,2.86,2.51,10.62,55.45,0.6950000000000001,6.0,3.3,29.0,55.45286506469511,67.34006734006734,6.088,0.014,24,0.3065,1.4319499999999998,1.4319499999999998,0.018034265103697024,0.034482758620689655,0.02784731697769225,35.9101022479499,-0.006635441642997404,-1.924278076469248,-19.24278076469248
0,USA,11276,1.0,Billy Horschel,150,10.33,5.52,4.55,3.83,24.16,165.75,0.1635,48.0,1.773,91.0,165.74585635359207,127.9317697228156,-0.863,0.008,57,-0.04195,0.43776499999999996,0.43776499999999996,0.006033182503770739,0.01098901098901099,0.008669237336279773,115.35040064194732,-0.002319773652731217,-2.1109940239854064,-21.109940239854062
0,USA,14636,1.0,Jordan Spieth,150,6.59,3.79,3.2,2.79,13.94,83.22,0.479,14.0,2.286,36.0,83.2177531206655,79.4701986754969,5.782,0.027,44,0.29315,1.0962950000000002,1.0962950000000002,0.01201634222542658,0.027777777777777776,0.020782605777025558,48.117161569097604,-0.006995172000752219,-2.518261920270799,-25.18261920270799
0,USA,17538,1.0,Max Homa,150,16.28,7.93,6.35,5.25,40.67,331.49,0.09,52.0,0.875,101.0,331.49171270718966,375.0000000000094,2.278,-0.022,147,0.1106,0.38953,0.38953,0.0030166822528583065,0.009900990099009901,0.0070084993485538365,142.68389711791073,-0.0028924907504560646,-2.921415657960625,-29.214156579606254
0,USA,21756,1.0,Eric Cole,150,15.07,7.57,6.07,5.03,38.23,340.91,0.105,51.0,1.143,176.0,340.9090909090948,359.2814371257528,-1.755,-0.027,90,-0.09179999999999999,0.19791000000000003,0.19791000000000003,0.00293332551113197,0.005681818181818182,0.003981023583751456,251.19167946693383,-0.0017007945980667257,-2.9933984925974366,-29.933984925974364
0,SWE,23950,1.0,Ludvig Aberg,150,3.19,2.17,1.95,1.78,5.49,22.46,0.729,5.0,4.2,13.0,22.455089820359294,34.013605442176875,13.529,0.012,16,0.67825,2.150425,2.150425,0.04452359750667854,0.07692307692307693,0.04705180759521985,21.253168605186453,-0.02987126932785708,-3.88326501262142,-38.832650126214205
0,USA,14139,1.0,Justin Thomas,150,3.74,2.47,2.19,1.97,6.63,28.5,0.4685,15.0,1.904,21.0,28.5035629453682,35.419126328217274,7.773,-0.021,5,0.3855,1.1177,1.1177,0.03508771929824561,0.047619047619047616,0.02803941104702177,35.664087177972874,-0.019579636572025848,-4.111723680125428,-41.117236801254286
0,ENG,12294,1.0,Tommy Fleetwood,150,3.97,2.53,2.23,1.99,7.47,35.61,0.3,32.0,2.091,31.0,35.608308605341286,34.20752565564428,-0.016,0.065,10,0.00895,0.6243850000000001,0.6243850000000001,0.02808199943836001,0.03225806451612903,0.018208006812257902,54.92089333615501,-0.01405005770387113,-4.35551788820005,-43.5551788820005
0,KOR,17488,1.0,Sungjae Im,150,5.27,3.21,2.76,2.43,10.53,57.03,0.5705,11.0,1.75,36.0,57.0342205323195,52.447552447552354,-0.142,0.051,21,0.0005499999999999993,0.609365,0.609365,0.01753463089601964,0.027777777777777776,0.014808449832119652,67.52901291740825,-0.012969327945658124,-4.668958060436925,-46.68958060436925
0,USA,17606,1.0,Daniel Berger,150,5.58,3.32,2.84,2.49,11.26,60.24,0.8195,3.0,2.0,34.0,60.24096385542168,49.26108374384237,-1.244,0.075,27,-0.05095000000000001,0.679615,0.679615,0.016600265604249667,0.029411764705882353,0.015628878315486712,63.98411836178265,-0.01378288639039564,-4.686181372734518,-46.86181372734518
0,USA,15466,1.0,Patrick Cantlay,150,3.84,2.49,2.2,1.97,7.12,32.8,1.0450000000000002,2.0,2.667,17.0,32.80481137233465,31.18503118503115,6.261,0.007,12,0.31410000000000005,1.38858,1.38858,0.030487804878048783,0.058823529411764705,0.03090382004686826,32.35845919641699,-0.027919709364896444,-4.746350592032395,-47.46350592032395
0,AUS,9771,1.0,Jason Day,150,5.68,3.36,2.89,2.53,11.53,64.66,0.1745,45.0,1.703,41.0,64.65517241379297,58.53658536585377,0.647,-0.008,22,0.031150000000000004,0.518595,0.518595,0.01546551190844417,0.024390243902439025,0.01276545086616137,78.33644189182522,-0.011624793036277656,-4.766165144873838,-47.66165144873838
