Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
MinWoo Lee,MC,6,-,31,-,MC,MC,-,-,-,MC,18,-,-,-,-,-,-,-,-,-,-,-,MC,8400,60/1,Bet 365,Further details,40
Kyounghoon Lee,53,MC,19,59,-,23,41,-,-,8,50,29,-,-,-,-,-,-,-,-,64,MC,-,MC,8300,70/1,Bet 365,Further details,57
Brian Harman,MC,44,MC,17,-,MC,7,-,-,MC,-,MC,-,MC,-,30,10,25,7,14,31,23,8,MC,8200,60/1,Bet 365,Further details,29
Stephan Jaeger,-,44,27,-,-,-,MC,-,18,27,11,50,-,-,-,-,-,-,-,-,-,-,-,MC,8100,60/1,Bet 365,Further details,68
Taylor Moore,39,35,1,-,-,39,11,4^^,-,27,-,72,-,-,-,-,-,-,-,-,-,-,-,MC,8000,70/1,Bet 365,Further details,MC
Kurt Kitayama,1,MC,-,5,-,MC,MC,19^^,-,MC,-,4,-,-,-,-,-,-,-,-,-,-,-,40,7900,66/1,Bet 365,Further details,29
An Byeong-Hun,WD,35,45,-,6,-,-,13^^,33,MC,14,-,-,-,-,-,-,-,-,-,68,60,50,-,7900,66/1,Bet 365,Further details,21
Brendon Todd,39,27,-,-,53,-,51,26^^,-,8,-,MC,-,73,-,5,43,MC,-,-,-,MC,8,3,7800,70/1,Bet 365,Further details,57
Harris English,2,MC,-,31,-,43,63,13^^,-,3,-,MC,-,5,MC,30,-,2,29,20,-,MC,-,-,7800,66/1,Bet 365,Further details,12
Christiaan Bezuidenhout,MC,13,-,59,28,-,19,MC,-,-,23,MC,-,-,-,-,-,-,-,-,-,MC,-,15,7700,70/1,Bet 365,Further details,21
Emiliano Grillo,39,MC,-,70,53,-,7,-,5,23,-,MC,-,-,-,-,-,55,24,3,19,MC,8,63,7700,80/1,Bet 365,Further details,1
Alex Smalley,MC,65,27,-,MC,-,MC,-,MC,18,-,23,-,-,-,-,-,-,-,-,-,-,-,27,7600,80/1,Bet 365,Further details,40
J.J Spaun,MC,MC,-,9,22,-,MC,26^^,-,27,-,MC,-,-,-,-,-,-,WD,MC,-,-,-,WD,7600,66/1,Bet 365,Further details,63
Ryan Fox,14,27,-,17,MC,26,WD,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,7500,75/1,Bet 365,Further details,21
Patrick Rodgers,MC,MC,36,MC,5,-,19,-,10,MC,-,29,-,-,-,-,74,-,MC,MC,-,14,MC,35,7500,80/1,Bet 365,Further details,57
Lucas Herbert,MC,MC,-,9,-,-,63,1,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,48,7500,70/1,Bet 365,Further details,MC
Thomas Detry,24,MC,-,8,64,-,MC,13^^,-,-,7,40,-,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,21
Davis Riley,8,MC,19,28,WD,-,MC,1^^,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,4,7400,80/1,Bet 365,Further details,MC
