Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Brice Garnett,1,35,MC,-,-,-,18,11^^,MC,-,35,-,-,-,-,-,MC,MC,-,-,-,MC,MC,68,6100,Further details,125/1,Bet 365,Further details
Zach Johnson,-,-,MC,-,MC,MC,-,19^^,20,-,-,45,-,-,-,-,-,-,-,-,-,35,-,-,6000,Further details,150/1,Bet 365,Further details
Martin Laird,10,54,-,31,51,-,-,MC^^,48,MC,-,37,-,-,-,-,29,MC,2,-,MC,50,MC,MC,6000,Further details,150/1,Bet 365,Further details
Ben Martin,42,31,67,-,7,-,55,MC^^,48,MC,-,37,-,31,-,-,-,-,MC,MC,-,-,53,MC,6000,Further details,150/1,Bet 365,Further details
Parker Coody,MC,-,67,MC,58,-,6,MC^^,MC,36,-,61,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,175/1,Bet 365,Further details
Chez Reavie,-,MC,12,MC,33,-,33,40^^,MC,32,-,MC,-,13,37,31,-,41,14,23,MC,-,-,25,6000,Further details,300/1,Bet 365,Further details
Garrick Higgo,32,WD,-,69,33,-,MC,4^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,50,6000,Further details,175/1,Bet 365,Further details
Chandler Phillips,MC,-,3,45,MC,-,55,19^^,MC,50,-,12,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,200/1,Bet 365,Further details
Ryan Moore,-,45,5,31,45,-,-,-,MC,MC,-,69,-,29,-,-,-,-,-,-,-,-,35,25,5900,Further details,175/1,Bet 365,Further details
Vincent Whaley,18,-,54,MC,69,-,23,MC^^,41,-,4^,-,-,-,-,-,-,-,-,-,-,-,35,72,5900,Further details,150/1,Bet 365,Further details
Brandon Wu,42,MC,-,MC,MC,-,59,28^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,9,5900,Further details,300/1,Bet 365,Further details
Carson Young,-,MC,54,MC,MC,-,MC,MC^^,30,32,-,MC,-,-,-,-,-,-,-,-,-,-,-,43,5900,Further details,200/1,Bet 365,Further details
