Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Harry Hall,41,-,33,MC,49,MC,67,28,58,-,-,28^^,-,-,-,-,-,-,-,-,-,-,-,83,6600,Further details,200/1,Bet 365,Further details
Jorge Campillo,5,-,19,53,MC,-,49,MC,MC,-,18,39^^,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,200/1,Bet 365,Further details
Taiga Semikawa,-,-,-,-,49,-,-,MC^,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,TBC,Bet 365,Further details
David Skinns,-,-,MC,4,67,MC,75,7,MC,-,-,11^^,-,-,-,-,-,-,-,-,-,-,38,-,6600,Further details,200/1,Bet 365,Further details
Wesley Bryan,-,-,-,-,MC,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,26,65,MC,6600,Further details,250/1,Bet 365,Further details
Mac Meissner,-,-,MC,53,23,-,26,MC,10,-,MC,23^^,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,Further details,175/1,Bet 365,Further details
Carson Young,41,-,8,56,-,MC,54,MC,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,14,6500,Further details,200/1,Bet 365,Further details
Aaron Baddeley,28,-,24,MC,23,MC,17,82,39,-,-,-,-,-,-,29,MC,MC,-,MC,-,MC,-,23,6500,Further details,225/1,Bet 365,Further details
Henrik Norlander,20^,-,13,-,15,-,-,MC,MC^,-,36,19^^,-,-,57,-,-,49,-,-,-,-,MC,34,6500,Further details,250/1,Bet 365,Further details
Vincent Whaley,MC,-,MC,-,18,-,54,MC,69,-,23,MC^^,-,-,-,-,-,-,-,-,-,26,25,79,6500,Further details,225/1,Bet 365,Further details
Nicolas Echavarria,MC,-,24,21,15,MC,MC,-,MC,-,14,4^^,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,200/1,Bet 365,Further details
Chez Reavie,MC,-,MC,-,-,MC,12,MC,33,-,33,40^^,-,MC,21,-,MC,18,MC,-,-,-,MC,-,6500,Further details,250/1,Bet 365,Further details
Erik Barnes,-,-,58,-,2,-,WD,17,MC,-,58,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,300/1,Bet 365,Further details
Benjamin Silverman,-,-,13,16,42,MC,MC,36,81,-,MC,MC^^,-,-,-,-,-,-,-,MC,MC,-,-,-,6500,Further details,200/1,Bet 365,Further details
Martin Trainer,8^,-,19,5^,MC,5^,-,MC,MC^,-,MC,2^^,-,-,-,-,-,-,-,-,WD,MC,76,MC,6500,Further details,275/1,Bet 365,Further details
Matthew Nesmith,71,-,MC,MC,-,26,MC,MC,MC,-,43,MC^^,-,-,-,-,-,-,-,-,-,-,51,30,6400,Further details,250/1,Bet 365,Further details
Stewart Cink,MC,-,-,-,7^,-,33,MC,39,-,-,35^,-,-,-,-,-,-,-,-,-,-,-,34,6400,Further details,300/1,Bet 365,Further details
Zac Blair,49,-,-,MC,-,54,MC,MC,MC,-,-,4^^,-,-,-,-,16,MC,40,42,-,-,-,-,6400,Further details,300/1,Bet 365,Further details
Kevin Streelman,-,-,-,MC,32,MC,26,-,45,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Joe Highsmith,-,-,MC,MC,6,-,MC,21,51,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,200/1,Bet 365,Further details
Kevin Dougherty,-,-,38,MC,MC,-,45,45,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details
Zach Johnson,60,-,-,21,-,-,MC,-,MC,MC,-,19^^,-,-,-,-,5,66,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Troy Merritt,MC,-,58,47,23,MC,MC,-,MC,-,67,MC^^,-,-,-,MC,-,-,-,53,53,7,-,MC,6400,Further details,275/1,Bet 365,Further details
David Lipsky,MC,-,MC,41,-,42,MC,MC,58,-,MC,23^^,-,-,-,-,-,-,-,-,-,-,25,MC,6400,Further details,250/1,Bet 365,Further details
Marty Dou Zecheng,MC^,-,MC,-,32,-,-,-,-,-,50,MC^^,-,-,-,-,-,-,-,MC,-,-,-,5,6300,Further details,250/1,Bet 365,Further details
