Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Benjamin Griffin,45,31,MC,-,31,MC^^,-,MC,MC,MC,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,NR
Cameron Champ,MC,-,MC,MC,MC,-,8,MC,50,-,63,-,-,-,-,-,-,-,-,-,-,MC,-,MC,7200,125/1,Bet 365,Further details,MC
Scott Piercy,-,29,MC,-,MC,MC^^,39,MC,19,-,40,-,-,-,6,1,52,25,79,-,-,-,MC,21,7100,175/1,Bet 365,Further details,57
Garrick Higgo,58,-,64,-,48,-,MC,MC,30,-,MC,30,-,-,-,-,-,-,-,-,-,-,-,-,7100,110/1,Bet 365,Further details,50
Chez Reavie,MC,-,6,-,11,-,49,MC,-,40,40,58,-,-,13,37,31,-,41,14,23,MC,-,-,7100,175/1,Bet 365,Further details,25
C.T. Pan,-,MC^,-,-,MC,-,-,MC,4,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,7100,125/1,Bet 365,Further details,3
Carson Young,MC,38,MC,-,19,MC^^,15,MC,14,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,175/1,Bet 365,Further details,43
Patton Kizzire,10,-,64,-,31,26^^,MC,MC,30,-,48,-,-,-,-,-,-,-,-,70,-,-,-,-,7100,150/1,Bet 365,Further details,38
Robby Shelton IV,MC,-,15,-,-,MC^^,MC,MC,43,-,29,MC,-,-,-,-,-,-,-,-,67,-,-,-,7100,125/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,-,-,-,-,-,41,-,MC,-,34,1,25,-,5,-,8,4,48,7000,200/1,Bet 365,Further details,MC
Aaron Cockerill,53,13,-,-,-,2,21,16,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,7000,175/1,Bet 365,Further details,MC
Andrew Novak,27,46,9,-,-,MC^^,49,-,67,-,40,-,-,-,-,-,-,-,-,-,-,-,-,64,7000,225/1,Bet 365,Further details,9
Lanto Griffin,-,16^,15,-,MC,-,66,MC,-,-,-,64,-,-,-,-,-,-,-,-,-,69,-,-,7000,150/1,Bet 365,Further details,MC
Augusto Nunez,MC,26,37,-,-,35^^,69,-,34,MC^,47^,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,200/1,Bet 365,Further details,MC
Chad Ramey,27,WD,MC,-,MC,9^^,-,35,50,-,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,175/1,Bet 365,Further details,MC
Sam Ryder,19,-,3,-,MC,26^^,-,MC,-,MC,MC,56,-,-,-,-,-,-,-,-,-,78,-,MC,7000,150/1,Bet 365,Further details,NR
Dylan Wu,58,16,39,-,-,MC^^,15,21,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,7000,125/1,Bet 365,Further details,25
Austin Smotherman,36,-,MC,-,67,MC^^,5,MC,MC,-,21,-,-,-,-,-,-,-,-,-,-,-,-,44,6900,250/1,Bet 365,Further details,50
Davis Thompson,-,31,-,-,63,MC^^,-,MC,70,MC,-,56,-,-,-,-,-,-,-,-,-,-,-,-,6900,150/1,Bet 365,Further details,NR
Sam Bennett,-,-,-,16,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,6900,225/1,Bet 365,Further details,20
Carl Yuan,63,-,MC,-,-,MC^^,55,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,200/1,Bet 365,Further details,18
Kevin Chappell,-,16,39,-,-,MC^^,24,-,MC,-,-,-,-,-,40,MC,68,20,MC,-,8,-,-,-,6900,250/1,Bet 365,Further details,MC
Marty Dou Zecheng,69,-,MC,-,-,MC^^,49,-,5,-,63,-,-,-,-,-,-,-,-,-,-,MC,-,-,6900,225/1,Bet 365,Further details,MC
Matthias Schmid,MC,MC,46,-,-,26^^,MC,-,MC,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,200/1,Bet 365,Further details,MC
Grayson Murray,-,MC,-,-,52^,33^^,MC,-,MC,1^,MC^,3^,-,-,-,-,-,-,-,-,MC,-,-,-,6900,225/1,Bet 365,Further details,MC
