Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Rico Hoey,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,MC
"Blaine Hale, Jr.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Bronson Burgoon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,42,MC,43,37,49,-,6100,1000/1,Bet 365,Further details,14
Hayden Springer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,MC
Raul Pereda,-,-,-,14^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Tom Whitney,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,-,-,-,-,-,6100,1000/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,WD,-,-,-,-,-,-,-,-,MC,-,23,58,MC,-,-,MC,-,-,MC,14,-,6100,750/1,Bet 365,Further details,MC
Tyler McCumber,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,64,40,MC,-,6100,1250/1,Bet 365,Further details,WD
Bill Haas,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6,1,9,17,MC,MC,MC,MC,MC,MC,6100,750/1,Bet 365,Further details,MC
David Lingmerth,73,-,MC,76,MC,-,-,-,-,-,-,MC,-,2,78,24,2,34,57,-,-,-,-,MC,6100,750/1,Bet 365,Further details,MC
Peter Malnati,-,-,59,37,MC,-,-,-,-,-,-,MC,-,-,MC,-,MC,77,MC,18,MC,MC,MC,MC,6100,500/1,Bet 365,Further details,MC
Tyson Alexander,76,-,MC,8,MC,-,-,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,MC,6100,1500/1,Bet 365,Further details,MC
Andrew Landry,-,-,MC,45,WD,-,-,-,-,-,-,-,-,-,-,-,MC,-,2,28,1,64,MC,68,6000,1250/1,Bet 365,Further details,MC
J.B. Holmes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Kevin Dougherty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Lin Yuxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,56
Rafael Campos,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,6000,1000/1,Bet 365,Further details,NR
Scott Gutschewski,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,1000/1,Bet 365,Further details,MC
Kevin Kisner,-,-,-,-,78,-,-,-,-,-,-,MC,-,-,48,MC,-,25,50,57,MC,-,-,-,6000,1000/1,Bet 365,Further details,MC
Jason Dufner,-,-,45,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,1,25,36,MC,55,MC,40,MC,6000,1000/1,Bet 365,Further details,MC
John Pak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6000,750/1,Bet 365,Further details,MC
Michael Block,-,-,MC,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,-,MC,6000,1000/1,Bet 365,Further details,MC
Benjamin Taylor,77,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,-,MC,6000,2000/1,Bet 365,Further details,MC
Ryan Brehm,-,-,MC,20,MC,-,-,-,-,-,-,MC,-,-,-,-,-,75,-,-,55,-,-,MC,6000,2000/1,Bet 365,Further details,MC
Scott Piercy,-,-,23,27,38,-,-,-,-,-,-,-,-,-,MC,30,-,41,6,57,61,MC,MC,41,-,TBC,Bet 365,Further details,NR
Denny McCarthy,-,-,-,-,5,-,-,-,-,-,43,24,-,-,-,-,-,-,MC,MC,48,MC,6,50,-,TBC,Bet 365,Further details,NR
Marty Dou Zecheng,-,-,MC,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,62,-,TBC,Bet 365,Further details,NR
Austin Smotherman,-,-,23,59,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,TBC,Bet 365,Further details,NR
Henrik Norlander,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,MC,-,-,MC,50,-,-,68,12,63,-,-,TBC,Bet 365,Further details,NR
Erik Barnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,52
James Hahn,-,-,45,-,-,-,-,-,-,-,-,-,-,4,38,20,-,-,36,57,MC,32,MC,MC,-,TBC,Bet 365,Further details,MC
Kramer Hickok,-,-,15,13,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,MC,21,MC,MC,-,TBC,Bet 365,Further details,NR
