Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jacques Kruyswijk,-,36,MC,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details
Lukas Nemecz,-,WD,MC,-,-,24,MC,MC,-,-,MC,27,-,-,-,-,-,-,-,41,-,6300,Further details,300/1,Bet 365,Further details
William McGirt,43,-,-,63,-,32^,MC^,MC^,-,-,-,-,-,-,-,-,12,-,-,50,30,6300,Further details,350/1,Bet 365,Further details
Jonathan Byrd,MC,MC^^,-,MC,60^,-,67^,36^,-,-,-,-,-,19,-,42,21,64,62,41,MC,6300,Further details,250/1,Bet 365,Further details
Camilo Villegas,-,-,MC,-,MC,MC,MC,-,-,-,MC,MC,-,-,WD,-,-,-,53,13,-,6300,Further details,250/1,Bet 365,Further details
Edoardo Molinari,-,MC,50,-,-,41,MC,-,MC,29,55,MC,-,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details
Erik Barnes,58,MC^^,MC,MC,-,MC,65,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details
Maximilian Rottluff,-,-,-,-,-,24,MC,-,-,58,MC,MC,-,-,-,-,-,-,-,-,-,6300,Further details,300/1,Bet 365,Further details
Tom Whitney,63,MC^^,66,MC,-,MC,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details
Samuel Jones,-,-,-,-,-,7,MC,-,-,MC,10,MC,-,-,-,-,-,-,-,-,-,6300,Further details,TBC,Bet 365,Further details
Renato Paratore,-,MC,MC,-,-,MC,MC,-,-,WD,MC,40,-,-,-,-,-,-,-,MC,-,6200,Further details,400/1,Bet 365,Further details
Scott Gutschewski,66,MC^^,MC,MC,-,-,MC,-,-,-,MC,61,-,-,-,-,-,-,MC,MC,-,6200,Further details,500/1,Bet 365,Further details
Tommy Gainey,MC,-,-,MC,79^,MC^,MC^,MC^,MC^,-,MC^,-,-,MC,-,MC,MC,39,MC,MC,16,6200,Further details,450/1,Bet 365,Further details
Sunghoon Kang,MC,-,41,-,MC^,MC^,-,-,MC,-,-,-,-,-,MC,-,-,-,-,MC,67,6200,Further details,400/1,Bet 365,Further details
Ryan Brehm,MC,3^^,MC,MC,-,-,MC,-,-,-,MC,MC,-,-,-,MC,-,-,53,81,24,6200,Further details,350/1,Bet 365,Further details
Cody Gribble,MC,-,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,MC,29,-,-,52,6200,Further details,300/1,Bet 365,Further details
Paul Barjon,MC,4^^,MC,54,-,-,MC,-,-,-,MC,MC,-,-,-,-,-,-,42,54,-,6200,Further details,250/1,Bet 365,Further details
Josh Teater,MC,MC^^,MC,MC,-,MC^,MC,MC^,-,-,MC,MC,-,77,-,-,40,6,15,63,MC,6200,Further details,400/1,Bet 365,Further details
Sebastian Friedrichsen,19^,MC,WD,-,-,24,46,-,-,70,42,MC,-,-,-,-,-,-,-,-,-,6200,Further details,350/1,Bet 365,Further details
Haydn Barron,MC^,MC,-,-,-,MC,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,6200,Further details,TBC,Bet 365,Further details
Gunner Wiebe,-,MC,65,-,-,57,MC,MC,-,44,10,40,-,-,-,-,-,-,-,47,-,6100,Further details,500/1,Bet 365,Further details
"Blaine Hale, Jr.",MC,MC^^,MC,MC,-,-,-,-,-,-,44,52,-,-,-,-,-,-,-,-,-,6100,Further details,750/1,Bet 365,Further details
Clement Sordet,-,MC,13,-,-,-,MC,29,-,MC,MC,-,-,-,-,-,-,-,-,-,52,6100,Further details,400/1,Bet 365,Further details
Cooper Musselman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,MC,-,-,-,6100,Further details,400/1,Bet 365,Further details
Espen Kofstad,-,MC,-,-,-,MC,49,-,-,60,WD,-,-,-,-,-,-,-,-,13,-,6100,Further details,450/1,Bet 365,Further details
Alexander Knappe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,Further details,500/1,Bet 365,Further details
Jim Herman,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,1,20,78,MC,6100,Further details,400/1,Bet 365,Further details
Brandt Snedeker,-,40^^,48,MC,-,MC,MC,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details
Kevin Kisner,68,MC^^,MC,MC,-,65,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Lorenzo Filipo Scalise,-,60,23,-,-,MC,MC,-,-,MC,63,MC,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Kyle Reifers,-,-,-,-,-,-,-,-,-,-,-,-,-,58,35,18,-,-,-,-,-,6100,Further details,TBC,Bet 365,Further details
Benjamin Taylor,-,37^^,MC,MC,-,MC,MC,-,-,-,MC,46,-,-,-,-,-,-,20,-,-,6000,Further details,400/1,Bet 365,Further details
Braden Shattuck,MC,-,-,MC,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details
Daniel Iceman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,4000/1,Bet 365,Further details
Stephen Stallings,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,75,78,MC,6000,Further details,750/1,Bet 365,Further details
Chase Hanna,-,MC,MC,-,MC^,MC,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,-,68,-,6000,Further details,1000/1,Bet 365,Further details
Guxin Chen,MC^,MC,MC,-,-,MC,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
