Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Garrick Higgo,33,-,MC,4^^,MC,MC,-,MC,42,-,-,-,-,-,-,41,MC,33,5800,Further details,150/1,Bet 365,Further details
Sam Ryder,MC,-,43,MC^^,MC,26,-,MC,MC,-,-,-,-,MC,MC,MC,24,40,5800,Further details,150/1,Bet 365,Further details
Patrick Fishburn,MC,-,23,4^^,MC,20,-,-,MC,-,17^,-,-,-,-,-,-,-,5800,Further details,200/1,Bet 365,Further details
Nick Hardy,25,-,MC,28^^,MC,-,-,65,42,-,-,-,-,-,-,-,MC,MC,5800,Further details,150/1,Bet 365,Further details
Patton Kizzire,WD^,-,23,28^^,24,10,-,-,MC,-,-,-,-,MC,MC,25,74,MC,5800,Further details,175/1,Bet 365,Further details
Chad Ramey,MC,-,50,2^^,MC,MC,-,MC,24,-,-,-,-,-,-,-,MC,17,5700,Further details,175/1,Bet 365,Further details
Kelly Kraft,-,-,-,11^^,13,MC,-,-,42,-,-,-,-,MC,-,-,MC,40,5700,Further details,200/1,Bet 365,Further details
Justin Suh,-,-,MC,MC^^,MC,50,-,MC,MC,-,-,-,-,MC,-,MC,-,78,5700,Further details,175/1,Bet 365,Further details
Stewart Cink,39,-,-,35^,MC,3^,-,9^,27,-,-,-,-,70,-,-,57,-,5700,Further details,200/1,Bet 365,Further details
Trace Crowe,WD,-,11,MC^^,MC,32,-,22^,27,42^,-,-,-,-,-,-,-,-,5700,Further details,200/1,Bet 365,Further details
Harry Hall,58,-,-,28^^,MC,40,-,MC,42,-,-,-,-,-,-,-,-,MC,5700,Further details,175/1,Bet 365,Further details
Carl Yuan,58,-,MC,MC^^,MC,68,-,MC,WD,-,-,-,-,-,-,-,-,14,5600,Further details,180/1,Bet 365,Further details
Ryan Moore,45,-,-,-,MC,MC,-,69,60,-,-,-,-,MC,-,-,MC,64,5600,Further details,225/1,Bet 365,Further details
Robby Shelton IV,33,-,-,MC^^,MC,26,-,9,MC,-,-,-,-,-,MC,MC,-,70,5600,Further details,200/1,Bet 365,Further details
Henrik Norlander,MC^,-,36,19^^,64,20,-,-,MC,MC,-,23,-,-,12,38,30,81,5600,Further details,250/1,Bet 365,Further details
Adrien Dumont de Chassart,MC,-,23,MC^^,30,40,-,MC,51,-,-,-,-,-,-,-,-,-,5600,Further details,225/1,Bet 365,Further details
Lanto Griffin,51,-,36,-,MC,66,-,MC^,51,-,-,-,-,-,21,25,-,MC,5600,Further details,225/1,Bet 365,Further details
Vincent Norrman,45,-,-,39^^,MC,-,MC,70,65,43,-,-,-,-,-,-,-,24,5500,Further details,250/1,Bet 365,Further details
Zach Johnson,MC,MC,-,19^^,20,-,-,45,MC,-,-,-,-,-,-,-,49,70,5500,Further details,275/1,Bet 365,Further details
Kevin Dougherty,MC,-,MC,MC^^,30,MC,-,-,MC,-,-,-,-,-,-,-,-,-,5500,Further details,200/1,Bet 365,Further details
Kevin Streelman,45,-,-,MC^^,MC,36,-,50,57,-,-,-,-,35,-,-,49,-,5500,Further details,275/1,Bet 365,Further details
Joe Highsmith,51,-,MC,MC^^,MC,MC,-,-,MC,-,-,MC^,-,-,-,-,-,-,5500,Further details,225/1,Bet 365,Further details
Matthew NeSmith,MC,-,43,MC^^,MC,54,-,24,MC,-,-,-,-,-,-,58,-,MC,5500,Further details,250/1,Bet 365,Further details
Zac Blair,MC,-,-,4^^,MC,-,53,MC,24,-,26,-,-,-,57,-,-,MC,5500,Further details,300/1,Bet 365,Further details
Chez Reavie,33,-,33,40^^,MC,32,-,MC,65,-,-,-,-,MC,-,MC,-,29,5400,Further details,300/1,Bet 365,Further details
Hayden Buckley,MC,-,MC,MC^^,52,59,-,5,MC,-,-,-,-,-,-,-,24,-,5400,Further details,275/1,Bet 365,Further details
Hayden Springer,58,-,MC,MC^^,MC,MC,-,MC,MC,-,54^,-,-,-,-,-,-,-,5400,Further details,225/1,Bet 365,Further details
Rico Hoey,14,-,33,MC^^,MC,MC,-,-,MC,-,MC,-,-,-,-,-,-,-,5400,Further details,225/1,Bet 365,Further details
Brandon Wu,MC,-,59,28^^,MC,MC,-,MC,62,-,70,-,-,-,-,-,30,MC,5400,Further details,275/1,Bet 365,Further details
David Lipsky,58,-,MC,23^^,MC,MC,-,9,MC,-,-,-,-,-,-,-,37,MC,5400,Further details,300/1,Bet 365,Further details
Nicolas Echavarria,MC,-,14,4^^,24,MC,-,MC,MC,-,54,-,-,-,-,-,-,MC,5400,Further details,300/1,Bet 365,Further details
Callum Tarren,MC,-,23,11^^,MC,MC,-,70,MC,-,-,-,-,-,-,-,20,29,5300,Further details,400/1,Bet 365,Further details
Erik Barnes,MC,-,58,MC^^,MC,MC,-,MC,65,-,-,-,-,-,-,-,-,-,5300,Further details,400/1,Bet 365,Further details
Francesco Molinari,-,-,MC,MC^^,-,-,MC,-,-,-,64,-,-,-,-,-,-,-,5300,Further details,400/1,Bet 365,Further details
Rafael Campos,MC,-,14,38^^,9,MC,-,MC,MC,-,-,-,-,-,-,MC,-,-,5300,Further details,350/1,Bet 365,Further details
Ryan McCormick,82,-,MC,MC^^,41,4,MC^,-,MC,51^,-,-,-,-,-,-,-,-,5300,Further details,350/1,Bet 365,Further details
Wilson Furr,MC,-,55,MC^^,MC,MC,-,-,MC,-,31^,-,-,-,-,-,-,-,5300,Further details,350/1,Bet 365,Further details
Aaron Baddeley,39,-,-,-,41,MC,-,-,MC,-,-,-,-,-,MC,41,MC,MC,5300,Further details,300/1,Bet 365,Further details
Josh Teater,58,-,MC,MC^^,MC,MC,-,MC^,MC,MC^,-,-,-,35,62,58,-,-,5200,Further details,1000/1,Bet 365,Further details
Nicholas Lindheim,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,5200,Further details,400/1,Bet 365,Further details
Paul Barjon,MC,-,MC,4^^,MC,54,-,-,MC,-,-,-,-,-,-,-,MC,-,5200,Further details,600/1,Bet 365,Further details
Roger Sloan,MC,-,MC,MC^^,MC,40,-,-,MC,-,-,-,-,21,MC,21,49,-,5200,Further details,400/1,Bet 365,Further details
Wesley Bryan,-,-,2,-,MC,MC,-,MC,MC,-,-,-,-,-,21,-,57,-,5200,Further details,400/1,Bet 365,Further details
Harrison Endycott,MC,-,33,MC^^,52,MC,-,-,MC,-,-,-,-,-,-,-,-,MC,5200,Further details,400/1,Bet 365,Further details
Martin Trainer,MC^,-,MC,2^^,MC,61,-,MC,MC,-,-,-,-,MC,MC,MC,MC,MC,5200,Further details,600/1,Bet 365,Further details
Tyson Alexander,14,-,55,MC^^,52,MC,-,MC,MC,-,-,-,-,-,-,-,-,MC,5200,Further details,400/1,Bet 365,Further details
Ryan Brehm,MC,-,MC,3^^,MC,MC,-,-,MC,-,-,-,-,-,MC,67,57,81,5100,Further details,750/1,Bet 365,Further details
Camilo Villegas,MC,35,-,-,MC,-,MC,MC,MC,-,-,-,-,-,-,67,WD,-,5100,Further details,750/1,Bet 365,Further details
Kevin Kisner,72,-,68,MC^^,MC,MC,-,65,MC,-,-,-,-,46,3,8,MC,-,5100,Further details,500/1,Bet 365,Further details
Russell Miles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,TBC,Bet 365,Further details
Tom Whitney,75,-,63,MC^^,66,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,5100,Further details,400/1,Bet 365,Further details
Tim Wilkinson,-,-,-,-,-,-,-,-,-,-,MC^,70^,-,-,MC,-,-,-,5100,Further details,600/1,Bet 365,Further details
Jason Dufner,-,-,-,MC^^,-,-,MC,-,-,-,-,-,-,MC,MC,MC,-,MC,5100,Further details,750/1,Bet 365,Further details
Jimmy Walker,MC,-,50,-,MC,-,MC,MC,-,-,-,-,-,21,MC,71,-,MC,5100,Further details,1000/1,Bet 365,Further details
Anders Albertson,MC^,-,-,-,-,63,-,-,-,-,-,-,-,64,-,-,-,-,5000,Further details,1000/1,Bet 365,Further details
Benjamin James,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5000,Further details,400/1,Bet 365,Further details
"Blaine Hale, Jr.",MC,-,MC,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Raul Pereda,MC,-,MC,MC^^,MC,MC,-,MC^,MC,60^,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Scott Gutschewski,MC,-,66,MC^^,MC,MC,-,-,MC,-,-,-,-,-,-,-,MC,-,5000,Further details,1500/1,Bet 365,Further details
