Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Robby Shelton IV,-,MC,-,-,-,-,-,-,57,MC,25,-,-,-,-,-,-,-,-,-,MC,53,-,-,6500,300/1,Bet 365,Further details,60
Seonghyeon Kim,-,-,-,-,-,-,-,-,30,MC,50,31,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,28
Tyler Duncan,-,3,-,-,-,-,-,-,65,34,MC,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,6500,300/1,Bet 365,Further details,53
Adrien Dumont de Chassart,-,-,-,-,-,-,-,-,MC,MC,75,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,60
Camilo Villegas,1,58,-,-,-,-,-,50,MC,62,-,-,-,-,37,MC,MC,24,57,-,-,MC,-,-,6400,350/1,Bet 365,Further details,MC
Carl Yuan,4,68,-,-,-,-,-,-,4,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,WD
Carson Young,-,71,-,-,-,-,-,-,MC,17,56,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,41
Garrick Higgo,-,-,-,-,-,-,-,-,80,MC,MC,-,-,-,-,-,-,-,-,-,-,-,21,MC,6400,300/1,Bet 365,Further details,49
Matthew NeSmith,-,28,-,-,-,-,-,-,80,56,MC,-,-,-,-,-,-,-,-,-,-,7,MC,MC,6400,350/1,Bet 365,Further details,71
William Gordon,-,36,-,-,-,-,-,-,42,67,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,6400,300/1,Bet 365,Further details,MC
Aaron Baddeley,-,64,-,21,-,-,-,-,-,MC,37,-,-,65,48,17,MC,MC,26,MC,40,-,-,-,6300,400/1,Bet 365,Further details,28
Joel Dahmen,-,-,-,-,-,-,-,-,72,MC,MC,-,-,-,-,-,-,-,-,MC,WD,MC,62,50,6300,400/1,Bet 365,Further details,41
Justin Lower,20,MC,-,-,-,-,-,-,74,39,43,-,-,-,-,-,-,-,-,-,-,-,-,50,6300,350/1,Bet 365,Further details,53
Lanto Griffin,53,MC,-,-,-,-,-,-,72,39,64,-,-,-,-,-,-,-,-,-,MC,-,-,-,6300,400/1,Bet 365,Further details,MC
Ryan Moore,5,8,-,-,-,-,-,-,MC,MC,MC,-,-,4,6,17,11,61,MC,MC,MC,MC,49,MC,6300,300/1,Bet 365,Further details,MC
Stewart Cink,7,44,-,-,-,-,-,-,24,5^,MC,-,-,MC,-,59,-,-,-,50,-,58,43,65,6300,400/1,Bet 365,Further details,MC
Zach Johnson,-,MC,-,-,-,-,-,-,MC,25,-,-,-,-,-,10,14,12,57,39,MC,42,43,32,6300,400/1,Bet 365,Further details,60
Andrew Novak,45,73,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,8
Callum Tarren,-,MC,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,400/1,Bet 365,Further details,MC
Chez Reavie,-,-,-,-,-,-,-,-,MC,52,MC,-,-,-,-,MC,MC,MC,2,4,MC,MC,MC,MC,6200,400/1,Bet 365,Further details,MC
Harry Hall,MC,-,-,-,-,-,-,-,42,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,41
Martin Laird,59,MC,-,-,-,-,-,-,MC,MC,MC,-,-,MC,19,5,41,7,9,26,55,MC,14,MC,6200,500/1,Bet 365,Further details,53
Peter Malnati,37,MC,-,-,-,-,-,-,MC,MC,MC,14,-,-,-,-,MC,-,MC,-,MC,-,65,MC,6200,600/1,Bet 365,Further details,MC
Troy Merritt,72,MC,-,-,-,-,-,-,24,MC,MC,-,-,-,-,53,MC,24,-,-,MC,MC,38,MC,6200,400/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,-,-,MC,MC,78,-,-,2,61,10,33,-,23,55,MC,-,MC,-,6100,1500/1,Bet 365,Further details,MC
C.T. Pan,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,62,60,63,MC,MC,-,6100,500/1,Bet 365,Further details,MC
Chad Ramey,-,-,-,-,-,-,-,-,MC,MC,78,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,500/1,Bet 365,Further details,MC
David Lipsky,13,-,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,600/1,Bet 365,Further details,MC
Kevin Streelman,-,MC,-,-,-,-,-,-,MC,MC,WD,-,-,MC,53,30,MC,MC,40,50,MC,22,MC,MC,6100,400/1,Bet 365,Further details,NR
Luke Donald,-,-,-,-,-,-,-,-,20,66,-,-,-,-,-,-,-,MC,-,-,MC,MC,MC,-,6100,1000/1,Bet 365,Further details,MC
Nicolas Echavarria,76,44,-,-,-,-,-,25,66,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Zac Blair,-,MC,-,-,-,-,-,-,30,62,73,-,-,-,-,-,33,MC,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,49
Benjamin Taylor,-,MC,-,-,-,-,-,-,MC,MC,64,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,MC
Bud Cauley,-,-,-,-,-,-,-,-,-,21^,35^,-,-,24,-,-,-,47,MC,26,25,-,-,-,6000,400/1,Bet 365,Further details,65
Hayden Buckley,-,MC,-,-,-,-,-,-,MC,MC,MC,77,-,-,-,-,-,-,-,-,-,-,MC,29,6000,600/1,Bet 365,Further details,28
J.B. Holmes,-,-,-,-,-,-,-,-,-,MC,MC,-,-,MC,58,66,6,24,MC,26,16,MC,-,MC,6000,2500/1,Bet 365,Further details,MC
Jesse Mueller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,-,6000,4000/1,Bet 365,Further details,66
Kevin Stadler,76,-,-,-,-,-,-,-,-,-,-,-,-,11,1,-,-,-,-,-,MC,MC,-,-,6000,5000/1,Bet 365,Further details,MC
Ryan Brehm,20,MC,-,-,-,-,-,-,MC,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1500/1,Bet 365,Further details,MC
Tyson Alexander,8,MC,-,-,-,-,-,-,WD,MC,56,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,53
Alejandro Tosti,-,MC^,-,-,-,-,-,-,70,MC,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Alexander Bjork,10,36,-,-,-,-,-,-,MC,11,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details,NR
Chan Kim,-,-,-,-,-,-,-,-,MC,14,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Jim Knous,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,1000/1,Bet 365,Further details,28
Jorge Campillo,12,43,-,-,-,-,-,-,32,56,37,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,5
Kevin Chappell,45,MC,-,-,-,-,-,-,-,MC,-,21^,-,24,MC,30,MC,75,31,-,MC,-,43,-,-,750/1,Bet 365,Further details,49
Nicolo Galletti,-,-,-,27,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details,73
Patton Kizzire,37,44,-,-,-,-,-,-,13,MC,-,-,-,-,-,-,60,57,31,MC,61,50,10,MC,-,200/1,Bet 365,Further details,MC
Rico Hoey,-,-,-,MC,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Robert MacIntyre,58,18,33,MC,-,-,-,-,52,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Ryo Hisatsune,9,18,13,8,-,-,-,-,30,11,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Sami Valimaki,26,38,-,-,-,-,-,-,MC,MC,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,41
