Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2024 Odds,Bookmaker,New Account Offer
Takumi Kanaya,-,37,-,10^,9^,16^,3^,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Taylor Moore,29,11,-,MC,-,35,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,67,MC,-,150/1,Bet 365,Further details
Trevor Cone,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,400/1,Bet 365,Further details
William Mouw,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Brian Campbell,-,-,-,-,-,-,-,-,-,-,-,WD,-,-,-,-,25,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Tim Widing,-,-,-,-,-,-,-,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Nick Taylor,54,33,-,-,MC,-,-,-,-,-,48,1,-,-,MC,MC,34,20,40,MC,47,33,MC,MC,66/1,Bet 365,Further details
Adam Schenk,46,67,-,MC,-,53,-,-,-,-,-,6,-,-,-,-,-,MC,67,14,37,MC,MC,MC,140/1,Bet 365,Further details
Patrick Fishburn,34,37,-,12,-,8,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,MC,50/1,Bet 365,Further details
Harry Hall,9,13,-,14,-,-,-,-,-,-,8,10,-,-,-,-,-,-,-,-,47,-,41,MC,35/1,Bet 365,Further details
Lee Hodges,MC,16,-,-,-,5,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,3,MC,MC,75/1,Bet 365,Further details
Mac Meissner,-,27,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,MC,100/1,Bet 365,Further details
Matt Kuchar,14,37,-,30,-,MC,-,-,-,-,-,21,-,-,2,49,-,-,-,-,-,-,-,MC,150/1,Bet 365,Further details
Nate Lashley,29,16,-,55,MC,MC,-,-,-,-,-,37,-,-,-,-,-,29,12,WD,MC,MC,MC,MC,400/1,Bet 365,Further details
David Lipsky,41,-,-,6,9,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,14,MC,MC,350/1,Bet 365,Further details
Brandt Snedeker,-,-,-,-,MC,MC,-,-,-,-,-,53,-,58,MC,-,-,MC,-,-,MC,14,-,MC,750/1,Bet 365,Further details
Kevin Streelman,MC,-,-,24,MC,MC,-,-,-,-,-,53,-,-,41,11,MC,29,34,MC,MC,MC,-,MC,400/1,Bet 365,Further details
Charley Hoffman,MC,65,-,30,-,-,-,-,-,-,-,59,-,9,2,MC,MC,-,MC,61,WD,-,MC,MC,175/1,Bet 365,Further details
Rico Hoey,3,22,-,45,17,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,MC,125/1,Bet 365,Further details
Tom Kim,MC,2,-,-,-,MC^,-,2,-,-,-,65,-,-,-,-,-,-,-,-,MC,-,6,MC,28/1,Bet 365,Further details
Benjamin Silverman,59,46,-,-,-,-,-,-,-,-,-,69,-,-,-,-,-,77,MC,-,-,-,-,MC,225/1,Bet 365,Further details
Doug Ghim,2,27,-,20,MC,42,-,-,-,-,-,72,-,-,-,-,-,-,-,MC,5,59,MC,MC,90/1,Bet 365,Further details
Aaron Baddeley,MC,-,-,64,70,MC,-,-,-,-,-,76,-,MC,-,42,75,-,18,MC,MC,-,50,MC,TBC,Bet 365,Further details
Bill Haas,-,-,-,-,MC,MC,-,-,-,-,-,-,-,6,1,9,17,MC,MC,MC,MC,MC,MC,MC,1500/1,Bet 365,Further details
Davis Riley,41,73,-,-,-,MC,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,59,65,MC,750/1,Bet 365,Further details
Dylan Wu,MC,-,-,14,47,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,32,MC,TBC,Bet 365,Further details
Hayden Buckley,MC,-,-,MC,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,600/1,Bet 365,Further details
Hayden Springer,MC,-,-,45,37,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,TBC,Bet 365,Further details
Jake Knapp,-,-,-,-,-,68,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,MC,400/1,Bet 365,Further details
Jason Dufner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,1,25,36,MC,55,MC,40,MC,MC,1500/1,Bet 365,Further details
Jhonattan Vegas,52,11,-,MC,57,-,-,-,-,-,4,-,-,84,MC,MC,34,11,69,55,-,MC,MC,MC,80/1,Bet 365,Further details
Kevin Kisner,MC,-,-,-,29,MC,-,-,-,-,-,-,-,48,MC,-,25,50,57,MC,-,-,-,MC,2500/1,Bet 365,Further details
Norman Xiong,29,-,-,MC,47,MC,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,TBC,Bet 365,Further details
Pierceson Coody,39,-,-,MC,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,TBC,Bet 365,Further details
Rickie Fowler,23,4,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,10,21,MC,54,MC,100/1,Bet 365,Further details
Sami Valimaki,MC,67,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,1000/1,Bet 365,Further details
Scott Gutschewski,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,TBC,Bet 365,Further details
Seonghyeon Kim,51,46,-,MC,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,TBC,Bet 365,Further details
Alejandro Tosti,9,-,-,MC,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,300/1,Bet 365,Further details
Andrew Novak,MC,16,-,-,2,35,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,MC,90/1,Bet 365,Further details
Billy Horschel,-,-,-,-,47,-,-,-,-,-,51,MC,-,25,41,MC,-,-,-,MC,-,-,-,MC,100/1,Bet 365,Further details
Cameron Davis,MC,-,-,-,-,6,MC,-,-,-,13,MC,-,-,-,-,-,-,28,29,3,-,MC,MC,75/1,Bet 365,Further details
Chad Ramey,23,46,-,60,29,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,450/1,Bet 365,Further details
Christopher Gotterup,45,71,-,-,-,-,-,-,-,-,46,MC,-,-,-,-,-,-,-,-,-,-,-,MC,300/1,Bet 365,Further details
David Skinns,66,76,-,58,42,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,750/1,Bet 365,Further details
Joel Dahmen,WD,41,-,14,MC,35,-,-,-,-,-,MC,-,-,-,-,MC,MC,-,-,MC,-,-,MC,350/1,Bet 365,Further details
John Pak,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,MC,2000/1,Bet 365,Further details
Matthias Schmid,3,-,-,MC,61,-,-,-,59,-,-,MC,-,-,-,-,-,-,-,-,-,-,6,MC,150/1,Bet 365,Further details
Patton Kizzire,MC,-,-,MC,-,66,-,-,-,-,40,MC,-,-,-,42,50,42,MC,MC,53,22,11,MC,300/1,Bet 365,Further details
Peter Malnati,MC,-,-,-,MC,MC,-,-,-,-,53,MC,-,MC,-,MC,77,MC,18,MC,MC,MC,MC,MC,1500/1,Bet 365,Further details
Ryan Palmer,MC,-,-,MC,-,-,-,-,-,-,-,MC,-,2,10,17,MC,20,MC,-,-,-,-,MC,1000/1,Bet 365,Further details
