Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Michael Thompson,45,-,-,MC,19,-,39,-,29,MC^^,-,MC,-,-,-,-,46,18,MC,59,53,-,25,7000,TBC,Bet 365,Further details,NR
Trey Mullinax,62,-,8,MC,MC,-,MC,-,MC,MC^^,-,47,-,-,-,-,-,-,MC,-,MC,-,32,7000,125/1,Bet 365,Further details,MC
Andrew Novak,-,29,44,MC,27,46,9,-,-,MC^^,49,-,-,-,-,-,-,-,-,-,-,-,46,7000,175/1,Bet 365,Further details,67
Lanto Griffin,MC,-,-,-,-,16^,15,-,MC,-,66,MC,-,-,-,-,-,-,-,MC,-,-,51,7000,TBC,Bet 365,Further details,NR
Doug Ghim,62,-,-,MC,27,16,MC,-,54,MC^^,MC,27,-,-,-,-,-,-,-,-,12,MC,-,7000,175/1,Bet 365,Further details,19
Austin Eckroat,-,MC,MC,-,MC,5,MC,-,-,MC^^,49,64,-,-,-,-,-,-,-,-,-,-,-,7000,150/1,Bet 365,Further details,2
Adam Long,50,MC,-,MC,19,MC,MC,-,59,-,18,MC,-,-,-,-,-,-,-,-,-,-,-,7000,175/1,Bet 365,Further details,50
Greyson Sigg,MC,MC,61,MC,57,-,MC,-,MC,MC^^,18,MC,-,-,-,-,-,-,-,-,-,-,MC,7000,175/1,Bet 365,Further details,MC
James Hahn,MC,-,-,MC,71,-,MC,-,41,-,49,MC,-,-,-,5,55,46,3,MC,-,MC,9,6900,275/1,Bet 365,Further details,50
Brice Garnett,-,55,48,-,MC,8,60,-,-,MC^^,33,-,-,-,-,29,-,MC,-,-,-,47,15,6900,250/1,Bet 365,Further details,77
Pierceson Coody,-,63,14,-,MC,MC^,53,-,15^,8^,-,MC,-,-,-,-,-,-,-,-,-,MC,-,6900,125/1,Bet 365,Further details,MC
Ryan Gerard,-,4,11,-,71,MC,56,-,-,MC^^,33,MC,-,-,-,-,-,-,-,-,-,-,-,6900,175/1,Bet 365,Further details,MC
Troy Merritt,MC,-,MC,MC,MC,-,MC,-,MC,13^^,-,MC,-,-,-,MC,-,-,-,53,53,7,-,6900,200/1,Bet 365,Further details,MC
Kramer Hickok,29,14,-,44,45,46,MC,-,72,MC^^,-,40,-,-,-,-,-,-,MC,-,17,MC,MC,6900,200/1,Bet 365,Further details,MC
Henrik Norlander,-,MC,15,-,45,22,60,-,-,23^^,MC,47,-,-,57,-,-,49,-,-,-,-,MC,6900,300/1,Bet 365,Further details,34
Scott Piercy,50,-,21,MC,-,29,MC,-,MC,MC^^,39,MC,-,15,5,-,WD,MC,20,32,2,MC,MC,6900,200/1,Bet 365,Further details,19
Chad Ramey,MC,MC,-,27,27,WD,MC,-,MC,9^^,-,35,-,-,-,-,-,-,-,-,-,-,-,6800,350/1,Bet 365,Further details,50
Stewart Cink,MC,-,MC,MC,MC,-,MC,-,MC,-,-,67,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,34
Aaron Baddeley,-,MC,34,72,-,46,-,-,-,MC^^,39,-,-,-,-,29,MC,MC,-,MC,-,MC,-,6800,200/1,Bet 365,Further details,23
Carl Yuan,-,MC,MC,-,63,-,MC,-,-,MC^^,55,-,-,-,-,-,-,-,-,-,-,-,-,6800,150/1,Bet 365,Further details,MC
Matthias Schmid,-,MC,33,-,MC,MC,46,-,-,26^^,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Lucas Glover,MC,-,MC,51,36,-,45,-,MC,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,6800,200/1,Bet 365,Further details,79
Harry Higgs,-,MC,7,-,MC,38,28,-,-,MC^^,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6800,200/1,Bet 365,Further details,MC
Seung-yul Noh,-,MC,29,-,-,38,-,-,-,19^^,46,-,-,69,70,-,-,MC,MC,-,-,-,MC,6800,225/1,Bet 365,Further details,74
Justin Lower,MC,-,MC,MC,MC,MC,70,-,71,MC^^,-,MC,-,-,-,-,-,-,-,-,-,-,46,6700,275/1,Bet 365,Further details,43
Matthias Schwab,50,60,-,54,MC,8,MC,-,MC,9^^,MC,MC,-,-,-,-,-,-,-,-,-,-,59,6700,300/1,Bet 365,Further details,MC
Chesson Hadley,MC,29,-,44,MC,MC,60,-,MC,MC^^,-,MC,-,-,-,-,-,MC,-,-,-,MC,69,6700,200/1,Bet 365,Further details,MC
Augusto Nunez,-,71,15,-,MC,26,37,-,-,35^^,69,-,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,34
Sean O'Hair,-,MC,61,-,19,29,-,-,-,7^^,MC,-,-,-,MC,48,-,18,5,-,-,39,-,6700,250/1,Bet 365,Further details,50
Carson Young,-,29,3,-,MC,38,MC,-,19,MC^^,15,MC,-,-,-,-,-,-,-,-,-,-,-,6700,275/1,Bet 365,Further details,14
Cameron Percy,-,12,MC,-,16,68,-,-,-,MC^^,60,-,-,-,57,-,10,77,MC,70,-,70,MC,6700,250/1,Bet 365,Further details,MC
Doc Redman,MC,MC,-,MC,16,-,MC,-,MC,26^^,MC,MC,-,-,-,-,-,-,-,-,-,9,MC,6700,250/1,Bet 365,Further details,30
Dylan Frittelli,MC,29,-,MC,MC,-,MC,-,WD,26^^,MC,MC,-,-,-,-,-,-,-,-,67,-,69,6600,275/1,Bet 365,Further details,MC
Brandon Matthews,-,55,40,-,MC,35,-,-,-,7^^,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,300/1,Bet 365,Further details,MC
David Micheluzzi,1^,23^,17^,-,1^,-,4^,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,6600,275/1,Bet 365,Further details,67
Kevin Chappell,-,29,15,-,-,16,39,-,-,MC^^,24,-,-,MC,-,-,-,-,-,-,-,MC,-,6600,225/1,Bet 365,Further details,MC
Tano Goya,-,55,11,-,MC,35,46,-,-,MC^^,60,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,50
C.T. Pan,-,-,-,-,-,MC^,-,-,MC,-,-,MC,-,-,-,-,-,-,MC,32,35,-,-,6600,275/1,Bet 365,Further details,4
Hank Lebioda,-,MC,21,-,58,64,MC,-,-,34^^,MC,-,-,-,-,-,-,-,-,-,MC,17,MC,6600,300/1,Bet 365,Further details,NR
Austin Cook,-,MC,MC,-,MC,13,MC,-,-,MC^^,39,MC,-,-,-,-,MC,-,-,-,MC,71,MC,6600,275/1,Bet 365,Further details,MC
Vincent Whaley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,25,6500,175/1,Bet 365,Further details,79
Martin Trainer,-,MC,64,-,MC,22,-,-,-,9^^,MC,-,-,-,-,-,-,-,-,-,WD,MC,76,6500,400/1,Bet 365,Further details,MC
Zac Blair,-,49,-,-,10,-,MC,-,-,MC^^,-,47,-,-,-,-,16,MC,40,42,-,-,-,6500,350/1,Bet 365,Further details,NR
Cody Gribble,-,79,7,-,7,50,-,-,-,MC^^,55,-,-,-,-,-,78,-,MC,32,MC,-,-,6500,350/1,Bet 365,Further details,MC
Kevin Roy,-,29,33,-,MC,50,MC,-,MC^,MC^^,18,-,-,-,-,-,-,-,-,-,-,-,-,6500,225/1,Bet 365,Further details,MC
Marty Dou Zecheng,-,MC,MC,-,69,-,MC,-,-,MC^^,49,-,-,-,-,-,-,-,-,MC,-,-,-,6500,250/1,Bet 365,Further details,5
Brent Grant,-,WD,40,-,MC,8,MC,-,-,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6500,275/1,Bet 365,Further details,83
Kevin Tway,40,63,-,MC,MC,38,MC,-,MC,MC^^,MC,MC,-,-,-,MC,-,-,20,9,53,MC,MC,6500,300/1,Bet 365,Further details,11
Robert Streb,MC,MC,-,MC,MC,-,-,-,MC,13^^,-,MC,-,-,MC,MC,-,-,MC,53,MC,-,MC,6500,400/1,Bet 365,Further details,67
Harrison Endycott,-,26,-,MC,65,58,MC,-,-,MC^^,MC,59,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,50
Chris Stroud,-,MC,15,-,-,38,-,-,-,MC^^,MC,-,-,-,-,-,-,DQ,MC,-,MC,-,-,6400,350/1,Bet 365,Further details,50
Scott Brown,-,MC,33,-,-,64,-,-,30^,MC^^,MC,-,-,49,-,-,34,-,35,-,-,34,-,6400,500/1,Bet 365,Further details,MC
Russell Knox,MC,MC,-,MC,MC,58,MC,-,MC,MC^^,-,MC,-,MC,MC,-,-,-,-,16,43,39,-,6400,400/1,Bet 365,Further details,MC
Ryan Moore,-,MC,-,-,MC,MC,MC,-,MC,-,33,MC,-,-,-,MC,-,-,MC,-,69,MC,-,6400,350/1,Bet 365,Further details,MC
