Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
James Morrison,11,56,-,-,34,-,MC,-,15,MC,40,MC,-,-,-,-,-,-,-,-,-,-,26,25,6600,Further details,250/1,Bet 365,Further details
Jason Scrivener,MC,23,-,-,48,MC,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,28,6600,Further details,250/1,Bet 365,Further details
Manuel Elvira,11,35,-,-,48,60,-,-,44,42,44,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,175/1,Bet 365,Further details
Rafael Cabrera-Bello,MC,56,-,-,48,7,25,-,29,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,44,-,6600,Further details,250/1,Bet 365,Further details
Wilson Furr,MC^^,MC,MC,-,-,MC,-,31^,-,MC,72,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,250/1,Bet 365,Further details
Matthias Schwab,42,8,-,-,MC,MC,-,-,MC,10,27,MC,-,-,-,-,-,-,-,-,3,-,MC,MC,6600,Further details,150/1,Bet 365,Further details
Scott Piercy,28^^,52,26,-,-,-,36^,MC^,-,66^,MC,MC,-,-,-,-,-,-,-,-,-,3,65,MC,6600,Further details,250/1,Bet 365,Further details
Maximilian Rottluff,-,-,-,-,24,MC,-,-,58,MC,MC,16,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,250/1,Bet 365,Further details
Maximilian Kieffer,MC,MC,-,-,34,MC,46,-,MC,-,MC,21,-,-,-,-,-,-,-,-,-,-,-,60,6500,Further details,250/1,Bet 365,Further details
Francesco Laporta,42,MC,-,-,48,MC,-,-,52,MC,MC,50,-,-,-,-,-,-,-,-,-,-,39,-,6500,Further details,300/1,Bet 365,Further details
Adri Arnaus,MC,MC,-,-,MC,25,MC,-,MC,5,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,225/1,Bet 365,Further details
Casey Jarvis,18,63,-,-,MC,60,-,MC,15,67,57,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,200/1,Bet 365,Further details
Rafael Campos,38^^,9,MC,-,MC,MC,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,6500,Further details,300/1,Bet 365,Further details
Todd Clements,-,-,-,-,18,34,25,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,250/1,Bet 365,Further details
William Gordon,-,-,-,-,-,-,MC^,-,MC^,-,MC,MC,-,-,-,-,-,-,-,31,41,MC,-,-,6500,Further details,250/1,Bet 365,Further details
