player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Garrick Higgo,-0.045,0.114,-0.221,-0.007,0.07,7.651,-0.038
Michael Thorbjornsen,-0.049,0.2,-0.11,-0.082,-0.057,12.942,-0.044
Antoine Rozner,-0.054,0.081,0.3,-0.211,-0.225,5.675,-0.011
Jayden Schaper,-0.074,0.059,-0.247,-0.023,0.137,-4.417,0.04
Jhonattan Vegas,-0.075,0.224,0.119,-0.145,-0.274,10.762,-0.038
Julien Guerrier,-0.078,0.092,-0.391,0.036,0.185,1.995,0.001
Chad Ramey,-0.081,-0.195,-0.114,0.005,0.224,-7.524,0.018
Talor Gooch,-0.081,-0.067,0.113,-0.021,-0.106,-5.917,0.047
Thomas Pieters,-0.102,-0.132,0.001,-0.006,0.035,4.564,-0.055
Trey Mullinax,-0.103,0.169,-0.033,-0.116,-0.124,11.683,-0.061
Mark Hubbard,-0.113,0.081,0.077,-0.121,-0.15,-3.688,0.029
Sebastian Soderberg,-0.118,-0.179,0.194,-0.052,-0.081,0.221,-0.024
Frederic Lacroix,-0.121,0.309,-0.06,-0.042,-0.328,2.333,0.028
Max Homa,-0.122,-0.089,-0.287,0.183,0.07,1.81,-0.017
Johannes Veerman,-0.125,0.255,-0.113,-0.049,-0.218,5.075,-0.007
Lanto Griffin,-0.141,0.176,0.05,-0.246,-0.12,-0.325,0.013
Austin Smotherman,-0.144,0.127,0.13,-0.138,-0.264,-0.815,0.02
Daniel Hillier,-0.163,0.308,0.076,-0.503,-0.043,10.213,-0.024
Richard Bland,-0.163,-0.133,0.048,0.03,-0.109,-10.677,0.058
S.H. Kim,-0.164,-0.073,-0.48,0.07,0.319,3.746,-0.034
Jason Kokrak,-0.17,0.009,-0.093,-0.166,0.08,2.496,-0.002
Richard Mansell,-0.173,0.365,-0.104,-0.002,-0.431,8.105,-0.019
Sam Bairstow,-0.189,0.12,-0.319,-0.162,0.172,7.912,-0.029
Andrea Pavan,-0.19,-0.367,-0.006,0.084,0.099,-9.602,0.006
Alexander Bjork,-0.206,-0.408,-0.047,-0.057,0.305,-17.038,0.064
Zach Johnson,-0.211,-0.257,-0.237,0.09,0.193,-15.11,0.072
Kevin Na,-0.232,-0.186,-0.071,0.147,-0.122,-12.811,0.054
Daniel Brown,-0.238,0.227,-0.195,-0.309,0.04,-1.031,0.027
Rikuya Hoshino,-0.241,-0.174,-0.174,-0.044,0.151,-2.919,0.0
Scott Vincent,-0.241,0.007,-0.305,-0.134,0.191,-1.061,0.007
Nate Lashley,-0.242,-0.273,0.08,0.058,-0.107,-6.905,0.002
Ben Kohles,-0.242,0.161,-0.004,-0.192,-0.207,-9.815,0.1
Matthieu Pavon,-0.246,0.086,-0.197,-0.267,0.132,-0.048,0.014
Adrien Dumont De Chassart,-0.252,-0.124,-0.271,-0.054,0.197,3.906,-0.048
Connor Syme,-0.255,0.002,0.032,-0.158,-0.131,-0.527,0.008
Phil Mickelson,-0.256,-0.128,0.161,-0.032,-0.257,-3.368,-0.016
Jorge Campillo,-0.258,-0.219,-0.09,0.082,-0.032,-2.413,0.005
Brice Garnett,-0.261,-0.104,-0.2,0.119,-0.077,-12.85,0.083
Andy Sullivan,-0.267,-0.095,-0.07,-0.038,-0.064,-8.007,0.04
Todd Clements,-0.283,0.071,-0.365,-0.116,0.126,2.796,-0.012
