Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Harry Higgs,-,-,MC^,-,43,MC^^,-,50,1^,1^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,300/1,Bet 365,Further details
Justin Lower,WD,28,25,-,4,28^^,24,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,600/1,Bet 365,Further details
Mac Meissner,26,MC,10,-,MC,23^^,MC,13,-,5,57,-,-,-,-,-,-,-,-,-,-,-,-,MC,5800,Further details,400/1,Bet 365,Further details
Nick Dunlap,-,11,-,MC,69,-,30,24,MC,-,-,12,-,-,-,-,-,-,-,-,-,-,MC,MC,5800,Further details,175/1,Bet 365,Further details
Peter Malnati,1,36,-,MC,49,19^^,-,66,MC,37,-,33,-,-,-,-,-,-,-,-,-,MC,-,-,5800,Further details,750/1,Bet 365,Further details
Ben Kohles,MC,-,78,-,MC,28^^,2,58,26,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,5700,Further details,750/1,Bet 365,Further details
Brandon Wu,-,MC,MC,-,59,28^^,MC,MC,-,MC,62,-,-,-,-,-,-,-,-,35,MC,-,-,-,5700,Further details,600/1,Bet 365,Further details
Chesson Hadley,MC,MC,MC,-,-,8^^,MC,10,-,MC,51,-,-,-,-,-,-,-,MC,9,51,-,-,-,5700,Further details,500/1,Bet 365,Further details
Martin Kaymer,-,-,39^^,-,-,14^^,19^^,-,73,-,-,9^^,-,59,1,MC,37,35,MC,35,MC,26,-,MC,5700,Further details,250/1,Bet 365,Further details
Matteo Manassero,MC,5,-,-,-,MC,23,-,-,13,-,-,-,MC,-,-,46,-,-,-,-,-,-,-,5700,Further details,450/1,Bet 365,Further details
Sam Bennett,-,72,14^,-,37^,-,-,-,15^,7^,72^,-,-,-,-,-,-,-,-,-,-,-,49,43,5700,Further details,750/1,Bet 365,Further details
Casey Jarvis,35,55,-,15^,-,18,63,-,-,MC,60,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,1500/1,Bet 365,Further details
Eugenio Chacarra,-,-,39^^,-,43^,45^^,10^^,-,-,-,-,41^^,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,600/1,Bet 365,Further details
Francesco Molinari,MC,-,-,-,MC,MC^^,-,-,MC,-,-,-,-,MC,23,27,-,MC,25,16,-,13,MC,MC,5600,Further details,750/1,Bet 365,Further details
Luke Clanton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,500/1,Bet 365,Further details
Richard Mansell,11,WD,-,-,-,MC,-,-,-,13,25,-,-,-,-,-,-,-,-,-,-,-,MC,-,5600,Further details,400/1,Bet 365,Further details
Tim Widing,-,-,MC^,-,1^,-,-,-,MC,8^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,600/1,Bet 365,Further details
Grant Forrest,70,WD,-,-,-,MC,MC,-,-,MC,68,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,1000/1,Bet 365,Further details
Max Greyserman,33,7,MC,-,40,4^^,MC,40,-,MC,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,5500,Further details,1000/1,Bet 365,Further details
Nicolas Echavarria,MC,-,MC,-,14,4^^,24,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5500,Further details,1500/1,Bet 365,Further details
Rikuya Hoshino,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,26,MC,-,5500,Further details,750/1,Bet 365,Further details
Ryo Ishikawa,-,41^,-,-,-,MC,34^,-,5^,38^,-,2^,-,-,-,MC,-,-,-,-,51,MC,-,63,5500,Further details,600/1,Bet 365,Further details
