Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New  Account  Offer,2024 Result
Raul Pereda,-,-,14^,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Scott Gutschewski,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6000,1000/1,Bet 365,Further details,MC
Nick Watney,-,MC,80,MC,-,-,-,-,-,-,-,-,-,4,59,7,MC,MC,58,72,MC,MC,MC,MC,6000,1500/1,Bet 365,Further details,MC
Benjamin Taylor,-,MC,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,55,MC,-,MC,6000,2500/1,Bet 365,Further details,64
J.B. Holmes,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,23,2,6,33,4,MC,16,MC,-,MC,6000,600/1,Bet 365,Further details,MC
Michael Block,-,MC,-,-,-,27,-,-,-,-,-,MC,-,-,82,MC,-,-,MC,-,MC,-,MC,MC,6000,1500/1,Bet 365,Further details,MC
Ryan Brehm,-,MC,20,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,41,-,-,49,MC,-,MC,6000,2500/1,Bet 365,Further details,20
Erik Barnes,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,13,-,TBC,Bet 365,Further details,43
Ryan Palmer,-,5,8,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,2,13,21,2,16,62,-,TBC,Bet 365,Further details,NR
Bronson Burgoon,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,62,-,MC,MC,MC,42,74,-,-,TBC,Bet 365,Further details,50
Henrik Norlander,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,43,MC,-,-,MC,2,MC,MC,-,TBC,Bet 365,Further details,NR
James Hahn,-,45,-,-,-,-,-,-,-,-,-,MC,-,78,MC,41,58,MC,45,MC,-,MC,MC,MC,-,TBC,Bet 365,Further details,NR
Patton Kizzire,-,15,37,44,-,-,-,-,-,-,13,MC,-,-,-,-,8,MC,-,-,MC,-,MC,MC,-,TBC,Bet 365,Further details,NR
