Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Thriston Lawrence,MC^^,-,36,MC,48,2,21^,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,42,74,5700,Further details,500/1,Bet 365,Further details
Ryo Hisatsune,-,13,MC,18,MC,35,-,-,-,31,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,500/1,Bet 365,Further details
Austin Eckroat,11^^,-,63,18,MC,-,39,74,27,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,300/1,Bet 365,Further details
Gordon Sargent,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,500/1,Bet 365,Further details
Stewart Cink,35^,MC,3^,-,9^,27,-,-,-,MC,52,62,-,MC,26,47,20,-,MC,24,20,MC,MC,23,5600,Further details,750/1,Bet 365,Further details
Sami Valimaki,-,MC,MC,MC,MC,35,-,-,-,MC,12,MC,-,-,-,-,-,-,-,-,-,-,-,68,5600,Further details,500/1,Bet 365,Further details
Joe Dean,MC^,-,37^,-,5,MC,-,-,2,29,49,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,1000/1,Bet 365,Further details
Dan Bradbury,MC,48,-,-,MC,22,MC,-,MC,10,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5600,Further details,1000/1,Bet 365,Further details
Daniel Hillier,11,23,-,-,MC,65,63,-,-,MC,MC,46,-,-,-,-,-,-,-,-,-,MC,-,MC,5600,Further details,2500/1,Bet 365,Further details
Nacho Elvira,-,56,-,-,1,MC,7,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5600,Further details,2000/1,Bet 365,Further details
Zach Johnson,19^^,20,-,-,45,MC,-,-,-,63,26,-,-,9,6,47,1,12,14,17,MC,-,MC,55,5500,Further details,750/1,Bet 365,Further details
C.T. Pan,28^^,WD,MC,MC,37,35,-,-,-,MC,2,-,-,-,-,-,-,-,-,-,MC,MC,-,-,5500,Further details,500/1,Bet 365,Further details
Sean Crocker,WD,-,-,-,MC,34,MC,-,23,3,20,MC,-,-,-,-,-,-,-,47,-,-,-,-,5500,Further details,600/1,Bet 365,Further details
Andy Ogletree,3^^,45^^,-,MC,-,-,42^^,-,49^^,-,-,42^^,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,2500/1,Bet 365,Further details
Francesco Molinari,MC^^,-,-,MC,-,-,-,64,-,MC,-,46,-,39,9,15,40,36,MC,1,11,MC,15,MC,5500,Further details,500/1,Bet 365,Further details
Adam Schenk,-,13,64,MC,WD,-,MC,MC,55,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5500,Further details,750/1,Bet 365,Further details
Jorge Campillo,39^^,24,4,-,MC,62,12,-,-,MC,MC,26,-,-,-,-,-,-,-,MC,MC,MC,-,MC,5500,Further details,600/1,Bet 365,Further details
Matteo Manassero,MC,23,-,-,13,-,-,MC,7,10,47,15,-,-,MC,19,MC,MC,-,-,-,-,-,-,5400,Further details,300/1,Bet 365,Further details
Darren Fichardt,-,7^,2^,-,57,MC,-,-,52,MC,57,-,-,-,-,-,-,-,MC,-,-,-,-,-,5400,Further details,4000/1,Bet 365,Further details
Dominic Clemons,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,500/1,Bet 365,Further details
Masahiro Kawamura,7,MC,-,-,MC,65,MC,-,MC,MC,-,MC,-,-,-,-,-,-,-,39,-,-,-,-,5400,Further details,4000/1,Bet 365,Further details
Ryan van Velzen,-,9^,-,MC,-,-,30^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,2000/1,Bet 365,Further details
Vincent Norrman,39^^,MC,-,MC,70,65,43,-,-,MC,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,1500/1,Bet 365,Further details
Daniel Brown,-,-,-,-,MC,-,MC,-,MC,MC,MC,61,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,750/1,Bet 365,Further details
Jesper Svensson,MC,17,-,53,-,MC,25,-,-,MC,47,34,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1000/1,Bet 365,Further details
Angel Hidalgo Portillo,56,MC,-,-,22,67,33,-,27,33,-,16,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1000/1,Bet 365,Further details
Calum Scott,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1500/1,Bet 365,Further details
Elvis Smylie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1500/1,Bet 365,Further details
Yuto Katsuragawa,1,6^,-,31^,3^,34,-,-,MC,60,-,MC,-,-,-,-,-,-,-,-,-,-,47,-,5300,Further details,1000/1,Bet 365,Further details
Kazuma Kobori,MC,-,-,MC,-,-,-,-,-,-,28^,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1000/1,Bet 365,Further details
Young-han Song,36,10^,8^,29^,38^,-,24^,29^,2^,-,6^,-,-,-,-,-,-,-,62,-,-,-,-,-,5300,Further details,1500/1,Bet 365,Further details
Altin van der Merwe,-,13^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2500/1,Bet 365,Further details
Jacob Skov Olesen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,1000/1,Bet 365,Further details
Jaime Montojo Fernandez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,4000/1,Bet 365,Further details
Liam Nolan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2000/1,Bet 365,Further details
Luis Masaveu,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2500/1,Bet 365,Further details
Minkyu Kim,12^,MC^,23^,MC^,3^,-,18^,43^,1^,MC^,-,6^,-,-,-,-,-,-,-,-,-,-,MC,-,5200,Further details,2000/1,Bet 365,Further details
Santiago De la Fuente,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,1000/1,Bet 365,Further details
Tommy Morrison,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,1500/1,Bet 365,Further details
Jasper Stubbs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Mason Andersen,-,-,-,MC^,MC^,19^,42^,12^,MC^,WD^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,2000/1,Bet 365,Further details
Matthew Dodd-Berry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,1500/1,Bet 365,Further details
Sam Hutsby,MC^,-,9^,-,13^,-,50^,MC^,MC^,16^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,1000/1,Bet 365,Further details
Guntaek Koh,53,16^,23^,MC^,2^,-,13^,43^,28^,44^,17^,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,2500/1,Bet 365,Further details
Jeunghun Wang,-,MC,-,-,-,-,-,-,-,-,8^,-,-,-,-,-,-,MC,MC,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Aguri Iwasaki,MC,MC^,6^,MC^,-,-,19^,MC^,MC^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Michael Hendry,-,16^,1^,14^,28^,-,56^,-,-,-,MC^,54^,-,-,-,-,-,-,MC,MC,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Ernie Els,-,37^,3^,-,6^,1^,1^,-,13^,-,-,1^,-,1,26,MC,65,MC,61,MC,32,MC,MC,MC,5100,Further details,1000/1,Bet 365,Further details
Jack McDonald,MC^,-,MC^,-,MC^,-,MC^,11^,45^,MC^,-,5^,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Ryosuke Kinoshita,3,31^,MC^,MC^,1^,-,44^,51^,-,-,21^,-,-,-,-,-,-,-,-,-,-,59,-,-,5000,Further details,2500/1,Bet 365,Further details
Charlie Lindh,MC^,-,63^,-,MC^,-,MC^,-,-,-,26^,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Denwit David Boriboonsub,-,37^,-,-,-,-,-,-,MC^,-,49^,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
Alex Cejka,45^,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
Darren Clarke,10^,7^,32^,-,21^,54^,38^,-,29^,-,-,33^,-,MC,21,26,MC,30,MC,MC,MC,MC,MC,MC,5000,Further details,4000/1,Bet 365,Further details
John Daly,-,76^,60^,WD,-,73^,22^,-,61^,-,-,56^,-,81,-,MC,MC,MC,MC,-,-,-,MC,MC,5000,Further details,4000/1,Bet 365,Further details
Justin Leonard,-,45^,22^,-,21^,-,42^,-,-,-,-,65^,-,MC,13,MC,MC,MC,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Todd Hamilton,-,-,-,-,MC^,-,-,-,-,-,-,-,-,MC,73,MC,MC,MC,MC,MC,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Aaron Rai,23^^,4,-,39,32,14,-,19,-,2,7,4,-,-,-,-,-,-,-,-,-,19,MC,-,7300,Further details,60/1,Bet 365,Further details
Alexander Noren,-,3,24,12,-,MC,22,MC,-,MC,-,10,-,9,WD,-,-,46,6,17,11,MC,-,23,7200,Further details,80/1,Bet 365,Further details
Richard Mansell,MC,-,-,-,13,25,-,MC,60,MC,-,10,-,-,-,-,-,-,-,-,-,74,68,-,5900,Further details,250/1,Bet 365,Further details
