Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Greyson Sigg,MC,13,-,MC,MC,-,56,-,MC,MC,MC,MC,-,-,-,-,7,MC,6600,Further details,175/1,Bet 365,Further details
Tyler Duncan,-,-,-,56,24,-,-,-,MC,MC,MC,MC,-,83,-,MC,45,20,6500,Further details,300/1,Bet 365,Further details
Matt Kuchar,MC,34,-,17,MC,33,50,-,25,MC,-,-,-,-,-,MC,-,43,6500,Further details,200/1,Bet 365,Further details
David Lipsky,MC,MC,-,9,MC,-,-,-,WD,61,37,MC,-,-,-,-,-,43,6500,Further details,300/1,Bet 365,Further details
Henrik Norlander,64,20,-,-,MC,MC,-,23,MC,61,25,11,-,-,23,-,MC,57,6500,Further details,160/1,Bet 365,Further details
David Skinns,48,20,-,MC,21,-,-,-,17,MC,MC,-,-,-,-,-,54,-,6500,Further details,200/1,Bet 365,Further details
Kevin Dougherty,30,MC,-,-,MC,-,-,-,MC,46,MC,MC,-,-,-,-,-,-,6500,Further details,250/1,Bet 365,Further details
Robby Shelton IV,MC,26,-,9,MC,-,-,-,57,34,MC,52,-,-,3,MC,-,MC,6500,Further details,250/1,Bet 365,Further details
Ryan Moore,MC,MC,-,69,60,-,-,-,44,MC,21,MC,-,MC,12,MC,MC,MC,6500,Further details,200/1,Bet 365,Further details
Troy Merritt,9,40,-,45,MC,-,-,-,17,MC,59,MC,-,7,MC,39,49,MC,6500,Further details,225/1,Bet 365,Further details
Stewart Cink,MC,3^,-,9^,27,-,-,-,MC,52,62,MC,-,-,46,MC,24,37,6400,Further details,350/1,Bet 365,Further details
Brice Garnett,MC,-,35,-,MC,-,-,-,MC,34,MC,-,-,23,26,16,31,53,6400,Further details,250/1,Bet 365,Further details
Brandon Wu,MC,MC,-,MC,62,-,70,-,44,MC,10,MC,-,-,-,-,-,57,6400,Further details,300/1,Bet 365,Further details
Adrien Dumont de Chassart,30,40,-,MC,51,-,-,-,MC,46,MC,-,-,-,-,-,-,-,6400,Further details,300/1,Bet 365,Further details
Joe Highsmith,MC,MC,-,-,MC,-,-,MC^,57,MC,MC,MC,-,-,-,-,-,-,6400,Further details,300/1,Bet 365,Further details
Zach Johnson,20,-,-,45,MC,-,-,-,63,26,-,MC,-,-,-,-,-,-,6400,Further details,300/1,Bet 365,Further details
Chez Reavie,MC,32,-,MC,65,-,-,-,MC,MC,10,44,-,-,-,11,49,MC,6400,Further details,300/1,Bet 365,Further details
Peter Malnati,-,66,MC,37,-,33,MC,70,74,MC,-,65,-,46,MC,MC,11,MC,6400,Further details,300/1,Bet 365,Further details
Kevin Tway,9,43,-,24,68,-,-,-,MC,MC,45,MC,-,-,-,MC,MC,MC,6400,Further details,275/1,Bet 365,Further details
MJ Daffue,-,-,MC^,MC^,MC^,-,MC^,MC^,56^,-,45,33,-,-,-,51,-,43,6400,Further details,TBC,Bet 365,Further details
