Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Raul Pereda,-,-,-,-,MC,-,-,MC,54,-,1^,-,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
Billy Andrade,20^,35^,-,23^,15^,-,-,45^,29^,43^,26^,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Santiago De La Fuente,-,-,-,16^,-,-,-,-,-,22^,44^,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Harry Hall,-,-,12,-,MC,18,-,-,35,9,13,-,-,-,-,-,-,-,-,-,-,-,MC,MC,25/1,Bet 365,Further details
Zac Blair,-,-,-,-,13,-,-,MC,66,61,46,-,-,-,23,10,42,55,-,14,-,-,MC,MC,150/1,Bet 365,Further details
Charley Hoffman,-,-,-,-,26,-,-,28,-,MC,65,-,-,31,1,MC,MC,MC,MC,MC,46,MC,42,MC,60/1,Bet 365,Further details
Benjamin Taylor,-,-,-,-,MC,-,-,MC,MC,46,-,-,-,-,-,-,-,-,-,MC,65,-,59,MC,600/1,Bet 365,Further details
Callum Tarren,-,-,-,-,MC,-,-,61,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,350/1,Bet 365,Further details
Carl Yuan,-,-,-,-,MC,-,-,MC,11,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,300/1,Bet 365,Further details
Cody Gribble,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,15,-,MC,-,-,-,-,MC,TBC,Bet 365,Further details
David Lipsky,-,-,-,-,2,-,-,MC,MC,41,-,-,-,-,-,-,-,-,-,-,-,MC,10,MC,150/1,Bet 365,Further details
Harry Higgs,MC^,30^,-,-,46^,35^,-,69^,-,-,-,-,-,-,-,-,-,-,-,33,MC,-,32,MC,200/1,Bet 365,Further details
Henrik Norlander,-,-,53,8,61,-,-,28,8,MC,-,-,-,-,-,46,-,-,-,41,MC,45,15,MC,75/1,Bet 365,Further details
Nick Watney,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,55,-,MC,MC,MC,-,MC,TBC,Bet 365,Further details
Ryan Brehm,-,-,-,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,66,-,-,72,59,-,MC,MC,500/1,Bet 365,Further details
Tyler Duncan,-,-,-,-,MC,-,-,MC,25,61,-,-,-,-,-,-,-,50,38,48,23,45,MC,MC,200/1,Bet 365,Further details
Tyson Alexander,-,-,-,-,MC,-,-,MC,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,750/1,Bet 365,Further details
Maverick McNealy,12,-,-,-,MC,-,-,MC,-,16,WD,-,-,-,-,-,-,-,-,26,12,11,10,MC,22/1,Bet 365,Further details
