Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025 Odds,Bookmaker,New Account Offer
Niklas Norgaard Moller,-,-,4,MC,-,-,-,34,25,34,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Paul Peterson,-,10,MC,WD,-,-,-,MC,MC,12,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Philip Knowles,-,-,MC,WD,MC^,-,-,MC,-,16,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,2500/1,Bet 365,Further details
Quade Cummins,-,MC,34,MC,-,-,-,32,32,16,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Rikuya Hoshino,-,MC,43,MC,-,-,-,MC,48,64,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Takumi Kanaya,-,MC,MC,MC,-,MC,-,32,-,34,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Taylor Dickson,-,72,MC,MC,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Thomas Rosenmueller,-,59,MC,MC,-,-,-,68,MC,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Thriston Lawrence,-,-,MC,MC,-,MC,-,59,MC,54,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Tim Widing,-,WD,MC,MC,-,-,-,MC,MC,45,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Trevor Cone,-,MC,MC,MC,-,-,-,MC,-,54,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,1000/1,Bet 365,Further details
William Mouw,-,MC,MC,66,-,-,-,MC,MC,6,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Zach Johnson,-,21,MC,48,-,-,-,-,42,-,-,MC,-,-,-,-,-,-,-,-,50,54,57,-,350/1,Bet 365,Further details
Ryo Hisatsune,-,65,43,MC,-,MC,-,10,MC,-,MC,4,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Seamus Power,-,MC,-,-,17,36,24,-,MC,-,MC,8,-,-,-,-,-,-,60,61,-,MC,-,-,80/1,Bet 365,Further details
Eric Cole,52,5,68,68,22,MC,MC,-,MC,50,MC,12,-,-,-,-,-,-,-,-,-,-,35,-,110/1,Bet 365,Further details
Kevin Yu,44,-,MC,MC,64,16,17,45,-,-,MC,12,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Ricky Castillo,-,MC,43,15,-,-,-,55,56,64,MC,12,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Nicolas Echavarria,32,2,MC,-,77,MC,34,-,MC,-,MC,16,-,-,-,-,-,-,-,-,-,-,MC,-,100/1,Bet 365,Further details
Erik van Rooyen,-,30,MC,MC,40,MC,-,59,9,-,MC,-,-,-,-,-,-,-,-,-,20,54,WD,-,150/1,Bet 365,Further details
Maverick McNealy,8,45,-,52,40,9,2,-,-,MC,MC,-,-,-,-,-,-,-,-,17,20,19,27,-,50/1,Bet 365,Further details
Nick Taylor,48,1,12,-,33,25,9,-,-,31,MC,-,-,-,-,MC,46,44,MC,-,-,41,MC,-,80/1,Bet 365,Further details
Adam Hadwin,29,59,MC,-,65,9,MC,-,-,45,MC,MC,-,-,-,25,MC,-,-,-,-,-,7,-,175/1,Bet 365,Further details
Adam Schenk,-,6,WD,25,-,25,-,-,MC,45,MC,MC,-,-,-,-,-,-,60,-,MC,29,MC,-,250/1,Bet 365,Further details
