Player,Masters,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sam Ryder,-,-,MC,MC,4,-,20,20,-,MC,44,19,-,-,-,-,-,-,-,-,-,36,42,MC,MC,7800,55/1,Bet 365,Further details,3
Beau Hossler,-,-,-,50,MC,11,14,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,MC,51,36,69,4,7700,75/1,Bet 365,Further details,46
Taylor Pendrith,-,-,-,MC,61,7,57,-,42,MC,69,-,70,-,-,-,-,-,-,-,-,-,-,-,-,7700,60/1,Bet 365,Further details,MC
Nick Taylor,-,-,7,MC,-,20,2,33,-,MC,MC,10,31,-,-,-,-,-,-,21,22,MC,52,59,MC,7600,66/1,Bet 365,Further details,15
Alex Smalley,-,-,MC,22,37,65,-,MC,-,MC,65,27,-,-,-,-,-,-,-,-,-,-,-,-,MC,7600,55/1,Bet 365,Further details,MC
Hayden Buckley,-,-,2,-,MC,-,29,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7600,100/1,Bet 365,Further details,10
Brandon Wu,-,-,MC,MC,-,2,50,MC,14,-,19,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7500,80/1,Bet 365,Further details,58
Robby Shelton IV,-,-,MC,6,67,20,-,-,21,39,MC,MC,-,-,-,-,-,-,-,-,16,-,-,MC,-,7500,80/1,Bet 365,Further details,15
Seonghyeon Kim,-,-,12,MC,20,41,-,33,63,39,MC,45,-,-,-,-,-,-,-,-,-,-,-,-,-,7500,75/1,Bet 365,Further details,15
Patton Kizzire,-,-,76,11,MC,-,MC,MC,-,MC,65,10,-,-,-,-,-,-,-,-,-,-,-,9,MC,7500,110/1,Bet 365,Further details,64
Sam Stevens,-,-,MC,67,13,34,-,-,MC,15,-,MC,3,-,-,-,-,-,-,-,-,-,-,-,-,7400,75/1,Bet 365,Further details,2
Sepp Straka,✅,21,-,MC,MC,-,-,45,5,MC,65,-,59,-,-,-,-,-,-,-,-,-,MC,67,-,7400,70/1,Bet 365,Further details,22
Francesco Molinari,✅,-,-,5,MC,-,MC,MC,-,14,60,-,-,-,-,-,-,-,WD,42,-,-,-,-,-,7400,110/1,Bet 365,Further details,MC
An Byeong-Hun,-,-,12,41,63,37,-,-,21,WD,35,45,-,-,-,-,-,-,-,-,40,-,7,MC,-,7400,60/1,Bet 365,Further details,6
Nick Hardy,-,-,41,-,44,41,-,MC,MC,MC,MC,MC,13,-,-,-,-,-,-,-,-,-,-,-,MC,7400,100/1,Bet 365,Further details,28
Patrick Rodgers,-,-,-,MC,MC,-,14,MC,-,MC,MC,36,MC,-,-,-,-,-,-,MC,-,MC,-,MC,58,7300,80/1,Bet 365,Further details,5
Emiliano Grillo,-,-,MC,MC,44,-,MC,67,-,39,MC,-,70,-,-,-,-,-,-,-,-,-,-,-,-,7300,75/1,Bet 365,Further details,53
Eric Cole,-,-,61,36,MC,15,-,-,2,MC,27,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,100/1,Bet 365,Further details,39
Garrick Higgo,-,-,-,11,53,20,MC,-,29,MC,44,58,-,-,-,-,-,-,-,-,-,-,-,-,MC,7300,110/1,Bet 365,Further details,64
Trey Mullinax,-,28,-,-,31,WD,61,62,-,8,MC,MC,-,-,-,-,-,-,-,-,MC,2,76,-,MC,7300,100/1,Bet 365,Further details,MC
Nate Lashley,-,-,7,MC,-,WD,61,20,-,3,60,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,18,7200,100/1,Bet 365,Further details,MC
Luke List,-,11,-,MC,25,-,MC,29,-,MC,MC,MC,-,-,-,-,46,-,-,29,MC,MC,MC,17,53,7200,100/1,Bet 365,Further details,39
Lanto Griffin,-,-,-,66^,37,58,-,MC,-,-,-,-,16^,-,-,-,-,-,-,-,-,58,-,34,53,7200,80/1,Bet 365,Further details,15
Erik van Rooyen,-,-,-,6,-,MC,50,-,MC,32,-,10,56,-,-,-,-,-,-,-,-,-,-,14,-,7200,125/1,Bet 365,Further details,MC
William Gordon,-,-,27,MC,MC,WD,-,-,42,70,54,36,-,-,-,-,-,-,-,-,-,-,-,78,-,7200,50/1,Bet 365,Further details,MC
Tyler Duncan,-,-,MC,41,MC,-,MC,33,3,-,54,MC,3,-,-,-,-,-,-,-,-,MC,MC,44,MC,7200,125/1,Bet 365,Further details,58
Ryan Palmer,-,-,31,-,63,MC,42,-,MC,53,MC,-,-,-,MC,32,15,56,6,4,6,MC,MC,17,48,7100,125/1,Bet 365,Further details,MC
Ben Martin,-,-,31,MC,MC,13,-,-,5,-,54,45,8,-,51,-,-,MC,-,-,-,45,-,34,63,7100,80/1,Bet 365,Further details,10
Austin Eckroat,-,-,31,MC,MC,MC,-,-,MC,MC,-,MC,5,-,-,-,-,-,-,-,-,-,-,MC,-,7100,110/1,Bet 365,Further details,MC
David Lingmerth,-,-,MC,MC,MC,58,-,-,10,70,6,27,-,-,-,-,MC,MC,44,-,-,51,-,-,-,7100,110/1,Bet 365,Further details,MC
Kramer Hickok,-,-,MC,MC,-,-,MC,29,14,-,44,45,46,-,-,-,-,-,-,-,-,-,MC,MC,MC,7100,110/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,54,54,13,7,-,-,55,MC,MC,36,-,-,66,-,-,-,-,-,-,-,-,34,MC,7100,100/1,Bet 365,Further details,MC
Kevin Streelman,-,-,MC,-,61,63,MC,50,-,MC,MC,27,-,-,15,13,-,-,-,37,53,8,6,-,18,7000,110/1,Bet 365,Further details,46
Harry Hall,-,-,27,41,MC,34,-,-,74,7,-,MC,13,-,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,28
Akshay Bhatia,-,-,-,4^,7^,MC^,MC^,-,49,2,-,MC,24,-,-,-,-,-,-,-,-,-,-,MC,-,7000,125/1,Bet 365,Further details,46
MJ Daffue,-,-,54,MC,MC,48,-,-,21,64,-,19,29,-,-,-,-,-,-,-,-,-,-,-,-,7000,80/1,Bet 365,Further details,15
Padraig Harrington,-,-,-,4,MC,25,-,2^,60,53,-,7^,5^,-,-,-,10,MC,-,25,-,-,71,69,-,7000,90/1,Bet 365,Further details,10
Lee Hodges,-,-,-,MC,MC,-,MC,18,14,MC,MC,63,-,-,-,-,-,-,-,-,-,-,-,-,MC,7000,125/1,Bet 365,Further details,6
Charley Hoffman,-,-,-,MC,MC,48,14,-,MC,MC,-,MC,MC,-,2,13,3,11,11,1,40,64,2,2,MC,7000,110/1,Bet 365,Further details,22
Lucas Glover,-,-,MC,MC,-,MC,39,MC,-,MC,51,36,-,-,-,-,-,-,MC,-,-,-,14,4,18,6900,110/1,Bet 365,Further details,45
Adam Long,-,-,48,MC,73,48,42,50,MC,-,MC,19,MC,-,-,-,-,-,-,-,-,-,MC,MC,35,6900,125/1,Bet 365,Further details,MC
Austin Smotherman,-,-,67,-,MC,MC,MC,MC,-,-,35,36,-,-,-,-,-,-,-,-,-,-,-,-,61,6900,160/1,Bet 365,Further details,MC
Mark Hubbard,-,-,MC,MC,-,20,MC,MC,42,-,35,MC,29,-,-,-,-,-,MC,42,-,-,-,-,-,6900,110/1,Bet 365,Further details,MC
Kazuki Higa,✅,-,72,-,-,36,13^,11,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,110/1,Bet 365,Further details,MC
