Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Chesson Hadley,-,-,8^^,MC,10,-,MC,51,-,MC,-,MC,-,-,-,-,MC,MC,25,72,-,34,10,MC,7000,Further details,125/1,Bet 365,Further details
Alex Smalley,-,6,MC^^,13,20,MC,WD,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,47,16,2,6900,Further details,100/1,Bet 365,Further details
Matt Kuchar,-,-,MC^^,MC,34,-,17,MC,33,50,-,25,-,-,-,-,-,-,-,-,-,-,-,67,6900,Further details,150/1,Bet 365,Further details
David Skinns,-,-,11^^,48,20,-,MC,21,-,-,-,17,-,-,-,-,-,-,-,-,-,-,MC,-,6900,Further details,110/1,Bet 365,Further details
Max Greyserman,-,40,4^^,MC,40,-,MC,MC,-,21,-,31,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Jorge Campillo,-,18,39^^,24,4,-,MC,62,12,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Patton Kizzire,-,23,28^^,24,10,-,-,MC,-,-,-,20,-,-,-,-,-,-,25,30,-,11,16,MC,6900,Further details,150/1,Bet 365,Further details
Kevin Tway,-,3,11^^,9,43,-,24,68,-,-,-,MC,-,-,-,52,-,-,12,50,MC,23,MC,MC,6900,Further details,150/1,Bet 365,Further details
Martin Laird,-,-,MC^^,48,MC,-,37,MC,-,-,-,MC,-,-,-,-,-,-,-,-,37,28,30,MC,6900,Further details,150/1,Bet 365,Further details
Troy Merritt,-,67,MC^^,9,40,-,45,MC,-,-,-,17,-,-,-,20,MC,56,60,43,MC,MC,-,17,6800,Further details,150/1,Bet 365,Further details
Garrick Higgo,-,MC,4^^,MC,MC,-,MC,42,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,21,6800,Further details,125/1,Bet 365,Further details
Cameron Champ,-,-,MC^^,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,11,MC,51,6800,Further details,125/1,Bet 365,Further details
Tyler Duncan,-,MC,-,-,-,-,56,24,-,-,-,MC,-,-,-,-,-,-,-,12,26,MC,WD,61,6800,Further details,150/1,Bet 365,Further details
Harry Hall,-,-,28^^,MC,40,-,MC,42,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Sami Valimaki,-,-,-,MC,MC,MC,MC,35,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,125/1,Bet 365,Further details
Ryan Moore,-,-,-,MC,MC,-,69,60,-,-,-,44,-,8,22,7,24,1,MC,55,18,2,24,MC,6800,Further details,110/1,Bet 365,Further details
Vincent Whaley,-,23,MC^^,41,-,4^,-,33,-,-,-,57,-,-,-,-,-,-,-,-,-,MC,43,MC,6800,Further details,125/1,Bet 365,Further details
Seung-yul Noh,-,14^,-,59,32,36^,MC^,-,MC^,17^,31^,68^,-,19,MC,-,50,WD,-,-,-,-,43,63,6700,Further details,275/1,Bet 365,Further details
Patrick Fishburn,-,23,4^^,MC,20,-,-,MC,-,17^,-,25,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Pierceson Coody,-,18,MC^^,MC,54,-,5,35,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details
Peter Malnati,MC,49,19^^,-,66,MC,37,-,33,MC,70,74,-,-,-,MC,-,27,44,MC,56,58,30,MC,6700,Further details,225/1,Bet 365,Further details
Brice Garnett,-,18,11^^,MC,-,35,-,MC,-,-,-,MC,-,-,-,45,MC,MC,-,MC,37,MC,MC,MC,6700,Further details,150/1,Bet 365,Further details
Carson Young,-,MC,MC^^,30,32,-,MC,14,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,125/1,Bet 365,Further details
Henrik Norlander,-,36,19^^,64,20,-,-,MC,MC,-,23,MC,-,-,MC,-,-,27,-,-,-,28,MC,MC,6700,Further details,300/1,Bet 365,Further details
Sam Ryder,-,43,MC^^,MC,26,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,2,18,58,60,MC,6700,Further details,125/1,Bet 365,Further details
Chad Ramey,-,50,2^^,MC,MC,-,MC,24,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,42,6600,Further details,200/1,Bet 365,Further details
Kevin Streelman,-,-,MC^^,MC,36,-,50,57,-,-,-,57,-,8,44,MC,MC,-,44,7,-,MC,41,51,6600,Further details,225/1,Bet 365,Further details
Lanto Griffin,-,36,-,MC,66,-,MC^,51,-,-,-,MC,-,-,-,-,-,-,-,60,-,-,MC,51,6600,Further details,200/1,Bet 365,Further details
Ben Kohles,-,MC,28^^,2,58,26,MC,-,-,56,-,20,-,-,MC,-,-,-,-,-,-,-,MC,-,6600,Further details,250/1,Bet 365,Further details
Hayden Buckley,-,MC,MC^^,52,59,-,5,MC,-,-,-,44,-,-,-,-,-,-,-,-,-,-,30,-,6600,Further details,200/1,Bet 365,Further details
Parker Coody,-,6,MC^^,MC,36,-,61,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,150/1,Bet 365,Further details
Robby Shelton IV,-,-,MC^^,MC,26,-,9,MC,-,-,-,57,-,-,-,-,-,27,-,-,-,MC,-,MC,6600,Further details,200/1,Bet 365,Further details
Kelly Kraft,-,-,11^^,13,MC,-,-,42,-,-,-,MC,-,-,-,-,-,5,64,63,66,-,24,MC,6600,Further details,175/1,Bet 365,Further details
Matthew NeSmith,-,43,MC^^,MC,54,-,24,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,50,-,35,6500,Further details,225/1,Bet 365,Further details
Austin Smotherman,-,50,23^^,MC,70,70^,65,-,MC^,54^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,MC,51,6500,Further details,400/1,Bet 365,Further details
Harrison Endycott,-,33,MC^^,52,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,66,6500,Further details,350/1,Bet 365,Further details
Brandon Wu,-,59,28^^,MC,MC,-,MC,62,-,70,-,44,-,-,-,-,-,-,-,-,-,-,30,-,6500,Further details,250/1,Bet 365,Further details
Jimmy Stanger,-,23,MC^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,150/1,Bet 365,Further details
Justin Suh,-,MC,MC^^,MC,50,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,6500,Further details,150/1,Bet 365,Further details
Trace Crowe,-,11,MC^^,MC,32,-,22^,27,42^,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,175/1,Bet 365,Further details
Carl Yuan,-,MC,MC^^,MC,68,-,MC,WD,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,MC,6500,Further details,175/1,Bet 365,Further details
Zac Blair,-,-,4^^,MC,-,53,MC,24,-,26,-,MC,-,-,-,-,MC,56,MC,MC,-,-,-,MC,6500,Further details,275/1,Bet 365,Further details
James Hahn,-,63,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,67,35,6400,Further details,600/1,Bet 365,Further details
Richy Werenski,-,59,-,MC,MC,-,MC^,29^,20^,MC^,MC^,16^,-,-,-,-,-,-,25,23,47,MC,MC,42,6400,Further details,600/1,Bet 365,Further details
Harry Higgs,-,43,MC^^,-,50,1^,1^,-,MC^,MC,4^,26^,-,-,-,-,-,-,-,-,-,MC,MC,57,6400,Further details,150/1,Bet 365,Further details
Adrien Dumont de Chassart,-,23,MC^^,30,40,-,MC,51,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,200/1,Bet 365,Further details
Kevin Dougherty,-,MC,MC^^,30,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,175/1,Bet 365,Further details
Stewart Cink,-,-,35^,MC,3^,-,9^,27,-,-,-,MC,-,MC,-,52,MC,40,-,-,63,-,-,-,6400,Further details,175/1,Bet 365,Further details
Nicolas Echavarria,-,14,4^^,24,MC,-,MC,MC,-,54,-,63,-,-,-,-,-,-,-,-,-,-,-,MC,6400,Further details,275/1,Bet 365,Further details
William Gordon,-,-,-,-,-,-,-,-,MC^,-,MC^,-,-,-,-,-,-,-,-,-,-,28,-,MC,6400,Further details,175/1,Bet 365,Further details
Ryan Palmer,-,55,19^^,MC,-,-,MC,35,-,-,-,34^,-,MC,-,-,-,-,MC,77,18,-,-,MC,6400,Further details,275/1,Bet 365,Further details
Chez Reavie,-,33,40^^,MC,32,-,MC,65,-,-,-,MC,-,68,15,-,65,-,39,MC,-,18,MC,35,6300,Further details,275/1,Bet 365,Further details
Nicholas Lindheim,-,-,-,MC,MC,-,-,-,-,-,-,31,-,-,-,-,-,-,55,69,MC,-,-,-,6300,Further details,350/1,Bet 365,Further details
Roger Sloan,-,MC,MC^^,MC,40,-,-,MC,-,-,-,31,-,-,-,-,18,-,-,-,10,71,WD,-,6300,Further details,400/1,Bet 365,Further details
Ryan McCormick,-,MC,MC^^,41,4,MC^,-,MC,51^,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details
Joe Highsmith,-,MC,MC^^,MC,MC,-,-,MC,-,-,MC^,57,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,225/1,Bet 365,Further details
Wilson Furr,-,55,MC^^,MC,MC,-,-,MC,-,31^,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,300/1,Bet 365,Further details
Callum Tarren,-,23,11^^,MC,MC,-,70,MC,-,-,-,57,-,-,-,-,-,-,-,-,-,-,6,MC,6300,Further details,350/1,Bet 365,Further details
Adam Long,-,43,MC^^,-,MC,-,-,MC,4^,MC^,-,MC^,-,-,-,-,-,-,-,-,53,23,13,MC,6300,Further details,400/1,Bet 365,Further details
David Lipsky,-,MC,23^^,MC,MC,-,9,MC,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,24,MC,6300,Further details,275/1,Bet 365,Further details
Bill Haas,-,18,-,MC,MC,-,-,-,6^,MC^,-,-,-,-,-,-,-,-,-,72,10,MC,MC,-,6200,Further details,350/1,Bet 365,Further details
Erik Barnes,-,58,MC^^,MC,MC,-,MC,65,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,350/1,Bet 365,Further details
Rafael Campos,-,14,38^^,9,MC,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,6200,Further details,300/1,Bet 365,Further details
Tom Whitney,-,63,MC^^,66,MC,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,400/1,Bet 365,Further details
Dylan Frittelli,-,-,MC,67,-,-,MC,20,29,-,MC,33,-,-,-,-,-,-,-,-,1,MC,30,MC,6200,Further details,500/1,Bet 365,Further details
Wesley Bryan,-,2,-,MC,MC,-,MC,MC,-,-,-,67,-,-,-,-,-,8,3,MC,-,-,MC,MC,6200,Further details,350/1,Bet 365,Further details
Tyson Alexander,-,55,MC^^,52,MC,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,400/1,Bet 365,Further details
