Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Keegan Bradley,-,-,-,-,-,-,-,-,-,34,MC,-,-,22,MC,16,41,MC,4,5,35,16,-,65,8300,55/1,Bet 365,Further details,2
Adam Hadwin,-,32,7,-,-,-,-,-,-,-,-,18,-,-,WD,-,32,63,49,35,-,-,18,MC,8200,50/1,Bet 365,Further details,44
Justin Rose,-,MC,9,29,-,-,-,-,-,-,-,26,-,33,-,-,MC,MC,4,8,1,MC,-,6,8100,50/1,Bet 365,Further details,18
Hayden Buckley,-,59,-,39,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,MC,8000,75/1,Bet 365,Further details,MC
Luke List,-,-,57,MC,-,-,-,-,-,11,-,MC,-,-,68,-,-,MC,MC,12,40,36,10,1,8000,80/1,Bet 365,Further details,25
Wyndham Clark,-,-,16,10,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,35,MC,32,56,7900,70/1,Bet 365,Further details,37
Taylor Pendrith,-,-,66,15,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,16,7900,90/1,Bet 365,Further details,61
Davis Thompson,-,-,43,MC,-,-,-,-,-,-,54,2,-,-,-,-,-,-,-,-,-,-,-,-,7800,80/1,Bet 365,Further details,69
Harris English,-,32,39,29,-,-,3^^,-,-,-,73,MC,-,43,73,-,2,31,14,8,MC,71,MC,-,7800,70/1,Bet 365,Further details,MC
Alex Smalley,11,-,4,5,-,-,-,-,-,-,MC,22,-,-,-,-,-,-,-,-,-,-,-,56,7700,80/1,Bet 365,Further details,37
Scott Stallings,-,-,-,54,-,-,5^^,-,-,25,-,-,-,-,MC,1,2,25,MC,MC,43,49,MC,46,7700,140/1,Bet 365,Further details,MC
Thomas Detry,2,15,13,-,-,-,-,68,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,7600,80/1,Bet 365,Further details,37
Rickie Fowler,-,-,-,-,-,-,-,-,-,-,-,54,-,13,6,MC,61,MC,MC,MC,66,MC,53,MC,7600,90/1,Bet 365,Further details,11
Kurt Kitayama,-,-,-,42,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,MC,7600,90/1,Bet 365,Further details,MC
Juan Sebastian Munoz,-,56,MC,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,54,-,72,MC,-,39,7500,125/1,Bet 365,Further details,MC
Dean Burmester,-,32,MC,54,-,5,7,MC,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,7500,110/1,Bet 365,Further details,37
Davis Riley,-,21,27,46,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,MC,7500,110/1,Bet 365,Further details,MC
Ryan Palmer,-,MC,MC,-,-,-,2^^,-,-,-,31,-,-,-,-,-,-,-,-,2,13,21,2,16,7500,75/1,Bet 365,Further details,63
Gary Woodland,-,-,9,-,-,-,-,-,-,-,MC,-,-,76,27,10,45,18,20,12,9,MC,48,39,7400,80/1,Bet 365,Further details,63
