Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Doug Ghim,-,-,-,-,-,MC,MC,13,-,12,-,8,-,-,-,-,-,-,-,-,MC,MC,MC,-,7000,70/1,Bet 365,Further details,16
Akshay Bhatia,-,-,-,-,14,13,MC,13,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,49,6900,66/1,Bet 365,Further details,MC
Thomas Detry,-,-,-,-,-,-,MC,20,4,28,-,MC,-,-,-,-,-,-,-,-,-,-,-,WD,6900,66/1,Bet 365,Further details,MC
Justin Suh,-,-,-,-,-,MC,MC,77,-,22,-,MC,-,-,-,-,-,-,-,-,-,-,-,5,6800,90/1,Bet 365,Further details,MC
Benjamin Griffin,-,-,-,-,-,30,9,MC,58,28,37,-,-,-,-,-,-,-,-,-,-,-,-,21,6800,90/1,Bet 365,Further details,MC
Davis Thompson,-,-,-,-,-,57,21,MC,-,15,-,24,-,-,-,-,-,-,-,-,-,-,-,-,6800,80/1,Bet 365,Further details,47
Carson Young,-,-,-,-,-,MC,17,56,-,41,-,8,-,-,-,-,-,-,-,-,-,-,-,29,6700,125/1,Bet 365,Further details,56
Chesson Hadley,-,-,-,-,-,-,56,25,-,MC,-,24,-,-,24,MC,21,-,MC,20,MC,MC,-,29,6700,90/1,Bet 365,Further details,35
Austin Eckroat,-,-,-,-,-,42,25,37,-,MC,-,38,-,-,-,-,-,-,-,-,-,-,-,MC,6700,90/1,Bet 365,Further details,1
Brandon Wu,-,-,-,-,-,18,MC,-,47,MC,-,13,-,-,-,-,-,-,-,-,-,MC,MC,14,6600,125/1,Bet 365,Further details,MC
Jhonattan Vegas,17,-,-,-,-,MC,MC,MC,-,22,-,60,-,-,12,MC,-,4,72,16,27,30,42,21,6600,100/1,Bet 365,Further details,NR
Sami Valimaki,-,-,-,-,-,MC,MC,43,-,41,-,2,-,-,-,-,-,-,-,-,-,-,-,-,6600,100/1,Bet 365,Further details,MC
Lee Hodges,-,-,-,-,57,-,MC,MC,58,MC,24,-,-,-,-,-,-,-,-,-,-,-,9,14,6500,100/1,Bet 365,Further details,MC
Robert MacIntyre,MC,-,-,-,-,52,MC,MC,-,MC,-,6,-,-,-,-,-,-,-,-,-,-,-,-,6500,125/1,Bet 365,Further details,60
Gary Woodland,-,-,-,-,-,MC,-,MC,-,MC,39,-,-,68,-,-,61,2,49,36,8,-,5,-,6500,100/1,Bet 365,Further details,MC
Alexander Bjork,-,-,-,-,-,MC,11,70,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,125/1,Bet 365,Further details,47
Seonghyeon Kim,-,-,-,-,-,30,MC,50,31,28,-,MC,-,-,-,-,-,-,-,-,-,-,-,63,6400,200/1,Bet 365,Further details,67
Justin Lower,-,-,-,-,-,74,39,43,-,53,-,3,-,-,-,-,-,-,-,-,-,-,64,-,6400,200/1,Bet 365,Further details,MC
Kevin Yu,-,-,-,-,-,MC,3,6,58,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,110/1,Bet 365,Further details,9
Michael Kim,-,-,-,-,-,42,6,37,-,MC,-,MC,-,-,-,-,53,MC,57,-,-,MC,-,MC,6400,125/1,Bet 365,Further details,MC
Alejandro Tosti,-,-,-,-,-,70,MC,43,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,150/1,Bet 365,Further details,MC
Kyounghoon Lee,-,-,-,-,-,30,25,MC,-,MC,-,MC,-,-,-,-,-,-,-,7,38,MC,48,-,6300,150/1,Bet 365,Further details,4
Matt Kuchar,-,-,-,-,-,MC,MC,-,39,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,125/1,Bet 365,Further details,MC
Samuel Stevens,-,-,-,-,-,24,65,43,-,28,-,MC,-,-,-,-,-,-,-,-,-,-,55,MC,6300,175/1,Bet 365,Further details,MC
Vincent Norrman,-,-,-,-,59,MC,-,56,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,63,6200,175/1,Bet 365,Further details,47
C.T. Pan,-,-,-,-,-,MC,-,-,-,MC,-,3,-,-,-,-,-,37,17,MC,MC,3,16,-,6200,175/1,Bet 365,Further details,28
Chan Kim,-,-,-,-,-,MC,14,MC,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,6200,175/1,Bet 365,Further details,28
Alex Smalley,-,-,-,-,-,MC,21,MC,75,-,MC,MC,-,-,-,-,-,-,-,-,-,-,55,-,6200,175/1,Bet 365,Further details,MC
Nick Hardy,MC,-,-,-,47,42,-,37,47,66,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6200,200/1,Bet 365,Further details,MC
Tyler Duncan,-,-,-,-,-,65,34,MC,-,53,-,MC,-,-,-,-,-,-,24,71,MC,MC,-,3,6100,150/1,Bet 365,Further details,MC
Dylan Wu,-,-,-,-,-,42,MC,50,-,MC,-,24,-,-,-,-,-,-,-,-,-,-,30,10,6100,175/1,Bet 365,Further details,MC
Cameron Champ,-,-,-,-,-,MC,MC,MC,-,MC,-,24,-,-,-,-,-,-,-,-,-,-,-,-,6100,150/1,Bet 365,Further details,MC
Greyson Sigg,-,-,-,-,-,66,17,MC,-,MC,-,19,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,150/1,Bet 365,Further details,56
Aaron Baddeley,21,-,-,-,-,-,MC,37,-,28,-,24,-,-,-,-,-,-,-,-,-,-,-,MC,6100,200/1,Bet 365,Further details,MC
Robby Shelton IV,-,-,-,-,-,57,MC,25,-,60,-,60,-,-,-,-,-,-,-,-,11,MC,-,21,6000,200/1,Bet 365,Further details,MC
Lanto Griffin,-,-,-,-,-,72,39,64,-,MC,-,48,-,-,-,-,-,-,MC,-,-,-,-,-,6000,300/1,Bet 365,Further details,NR
Nick Dunlap,-,-,-,-,-,-,1,-,80,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,125/1,Bet 365,Further details,53
Christopher Gotterup,-,-,-,-,-,-,MC,50,-,MC,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,6000,125/1,Bet 365,Further details,35
Benjamin Silverman,-,-,-,-,-,18,MC,56,-,-,-,13,-,-,-,-,-,-,MC,36,-,-,-,MC,6000,175/1,Bet 365,Further details,16
Andrew Novak,-,-,-,-,-,MC,MC,MC,-,8,-,8,-,-,-,-,-,-,57,-,-,-,MC,29,5900,175/1,Bet 365,Further details,9
Joseph Bramlett,-,-,-,-,-,52,MC,25,-,MC,-,38,-,-,-,-,-,-,-,-,MC,MC,-,55,5900,225/1,Bet 365,Further details,41
