Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Tommy Kuhl,-,-,-,-,-,-,-,-,-,15^,27^,MC^,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,MC
Nick Watney,-,19^^,MC,MC,MC,-,-,-,MC,-,MC,56,-,13,27,-,-,-,MC,60,6,50,MC,6100,800/1,Bet 365,Further details,MC
Wesley Bryan,MC,33^^,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,8,3,MC,-,-,MC,6100,750/1,Bet 365,Further details,MC
William McGirt,-,MC^^,MC,-,64,-,-,MC,MC,-,-,-,-,MC,MC,23,41,-,71,MC,-,-,MC,6100,600/1,Bet 365,Further details,MC
Brian Gay,MC,26^,42^,21^,44^,-,MC^,-,52,-,MC,WD^,-,MC,61,-,-,MC,MC,MC,-,64,MC,6100,1000/1,Bet 365,Further details,NR
Ricky Barnes,-,MC^^,MC,-,MC,-,-,-,MC,-,-,-,-,45,MC,68,MC,5,55,43,MC,MC,69,6000,1000/1,Bet 365,Further details,MC
Derek Lamely,-,MC^^,66,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Jay Giannetto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Marcus Byrd,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Chad Collins,MC^,MC^^,-,-,-,-,MC^,MC^,-,-,WD^,MC,-,-,-,70,MC,MC,MC,-,MC,-,-,6000,5000/1,Bet 365,Further details,MC
Kyle Stanley,-,MC^^,MC,-,MC,-,-,-,MC,MC^,-,MC,-,19,MC,63,18,22,55,MC,18,41,-,6000,1000/1,Bet 365,Further details,MC
D.A. Points,-,MC^^,MC,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,MC,-,MC,MC,6000,2500/1,Bet 365,Further details,MC
Brian Stuard,-,MC^^,MC,-,MC,-,-,-,MC,-,-,MC,-,-,-,MC,18,-,MC,81,MC,8,MC,6000,1000/1,Bet 365,Further details,51
Max Mcgreevy,63,MC^^,MC,MC,MC,-,-,-,MC,MC^,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,6000,1500/1,Bet 365,Further details,MC
Jonas Blixt,-,MC^^,72,-,MC,-,-,-,MC,-,-,MC^,-,-,MC,-,62,-,-,-,-,MC,MC,6000,1000/1,Bet 365,Further details,17
Tommy Gainey,-,12^,MC,-,34,37^,47^,37^,MC,WD^,-,-,-,13,MC,27,-,-,-,69,-,-,51,-,TBC,Bet 365,Further details,MC
George McNeill,-,-,MC,-,MC,-,-,-,MC,-,-,-,-,-,WD,-,MC,MC,MC,72,MC,MC,-,-,TBC,Bet 365,Further details,NR
Sangmoon Bae,56^,MC^^,14,-,43,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,47,MC,-,-,TBC,Bet 365,Further details,NR
Arjun Atwal,-,11^,MC,-,-,-,49^,-,-,-,-,-,-,MC,-,MC,MC,MC,-,65,MC,MC,MC,-,TBC,Bet 365,Further details,MC
Ben Crane,-,-,MC,-,MC,-,-,-,MC,-,-,-,-,13,MC,37,MC,-,25,MC,-,-,MC,-,TBC,Bet 365,Further details,NR
D.J. Trahan,-,MC^^,MC,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,-,MC,-,80,MC,58,MC,-,TBC,Bet 365,Further details,NR
Kevin Stadler,-,MC^^,MC,-,MC,-,-,-,MC,-,-,-,-,MC,27,-,MC,-,-,-,-,MC,MC,-,TBC,Bet 365,Further details,NR
Ted Potter Jr.,-,-,MC,-,MC,-,-,-,25,-,-,-,-,66,MC,MC,-,-,-,-,71,72,MC,-,TBC,Bet 365,Further details,NR
Camilo Villegas,MC^,MC^,MC,-,-,MC^,23^,46^,MC,-,MC^,MC^,-,58,71,45,MC,MC,19,-,-,41,MC,-,TBC,Bet 365,Further details,NR
Scott Brown,30^,MC^^,MC,-,MC,MC^,MC^,15^,65,-,WD^,MC^,-,7,22,5,MC,16,25,12,MC,4,MC,-,TBC,Bet 365,Further details,MC
