Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Matt Kuchar,MC,-,MC,49,-,MC,-,-,MC^^,MC,34,-,-,2,76,-,6,12,32,-,MC,50,-,-,6200,Further details,175/1,Bet 365,Further details
Joseph Bramlett,41,-,MC,17,36,MC,-,MC,-,MC,26,-,-,-,-,-,-,-,-,-,-,MC,-,MC,6200,Further details,160/1,Bet 365,Further details
Grayson Murray,-,25,42,-,-,MC,51,39,-,-,10,43,-,-,-,-,-,-,MC,-,-,-,-,-,6100,Further details,200/1,Bet 365,Further details
Justin Suh,MC,MC,MC,33,MC,-,-,MC,MC^^,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,16,6100,Further details,275/1,Bet 365,Further details
Dylan Wu,MC,-,19,26,78,58,-,-,28^^,30,16,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,Further details,175/1,Bet 365,Further details
Kevin Tway,-,32,-,MC,-,37^,-,3,11^^,9,43,-,-,-,109,-,-,18,5,19,MC,-,MC,MC,6100,Further details,175/1,Bet 365,Further details
Carson Young,56,-,MC,54,MC,MC,-,MC,MC^^,30,32,-,-,-,-,-,-,-,-,-,-,-,-,21,6000,Further details,250/1,Bet 365,Further details
Benjamin Silverman,16,42,MC,MC,36,81,-,MC,MC^^,MC,16,-,-,-,-,-,-,-,11,40,-,-,-,-,6000,Further details,175/1,Bet 365,Further details
Max Greyserman,47,15,-,33,7,MC,-,40,4^^,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,200/1,Bet 365,Further details
Sam Ryder,21,-,16,33,64,MC,-,43,MC^^,MC,26,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,6000,Further details,200/1,Bet 365,Further details
Chad Ramey,35,-,MC,MC,17,MC,-,50,2^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,27,12,5900,Further details,250/1,Bet 365,Further details
Ben Martin,MC,42,31,67,-,7,-,55,MC^^,48,MC,-,-,-,21,10,29,57,32,-,-,-,-,57,5900,Further details,200/1,Bet 365,Further details
Mac Meissner,53,23,-,26,MC,10,-,MC,23^^,MC,13,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,200/1,Bet 365,Further details
Parker Coody,47,MC,-,67,MC,58,-,6,MC^^,MC,36,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,225/1,Bet 365,Further details
Martin Laird,9,10,54,-,31,51,-,-,MC^^,48,MC,-,-,54,30,43,MC,MC,MC,53,-,-,-,-,5800,Further details,250/1,Bet 365,Further details
Ryan Moore,MC,-,45,5,31,45,-,-,-,MC,MC,-,-,MC,-,-,-,67,-,-,MC,-,-,-,5800,Further details,225/1,Bet 365,Further details
Davis Riley,62,-,MC,MC,14,MC,-,-,28^^,30,66,-,-,-,-,-,-,-,-,-,-,-,4,MC,5800,Further details,250/1,Bet 365,Further details
Zach Johnson,21,-,-,MC,-,MC,MC,-,19^^,20,-,-,-,3,73,19,17,63,MC,MC,43,32,23,MC,5800,Further details,200/1,Bet 365,Further details
Ben Kohles,MC,3,MC,MC,-,78,-,MC,28^^,2,58,26,-,62,-,-,-,-,-,-,-,-,-,-,5700,Further details,250/1,Bet 365,Further details
Nick Hardy,MC,-,MC,MC,57,25,-,MC,28^^,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,48,5700,Further details,225/1,Bet 365,Further details
David Skinns,4,67,MC,75,7,MC,-,-,11^^,48,20,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,250/1,Bet 365,Further details
Nicolas Echavarria,21,15,MC,MC,-,MC,-,14,4^^,24,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,350/1,Bet 365,Further details
Kevin Streelman,MC,32,MC,26,-,45,-,-,MC^^,MC,36,-,-,MC,-,58,MC,18,76,31,MC,20,MC,9,5600,Further details,350/1,Bet 365,Further details
Garrick Higgo,16,32,WD,-,69,33,-,MC,4^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,5600,Further details,250/1,Bet 365,Further details
Tyler Duncan,MC,23,64,MC,-,51,-,MC,-,-,-,-,-,-,-,-,-,-,71,-,38,-,15,MC,5600,Further details,250/1,Bet 365,Further details
Sami Valimaki,MC,MC,54,45,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,Further details,250/1,Bet 365,Further details
Robby Shelton IV,MC,-,MC,33,MC,33,-,-,MC^^,MC,26,-,-,-,-,-,-,-,-,-,MC,59,-,29,5500,Further details,400/1,Bet 365,Further details
Joel Dahmen,MC,49,11,49,MC,MC,-,67,28^^,62,59,-,-,-,-,-,-,-,20,MC,19,MC,63,68,5500,Further details,275/1,Bet 365,Further details
