Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
Matteo Manassero,-,-,43,-,-,-,-,43,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Matthew Riedel,-,-,-,-,-,-,-,51,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Matthew Watkins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Max Mcgreevy,-,-,-,-,-,-,MC,MC,WD,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,-,90/1,Bet 365,Further details
Michael Thorbjornsen,8,-,-,-,-,-,-,MC,MC,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
Nick Hardy,MC,-,-,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Niklas Norgaard Moller,-,-,48,-,-,-,-,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45/1,Bet 365,Further details
Noah Goodwin,-,-,-,-,-,-,MC,MC,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Paul Peterson,25,-,-,-,-,-,10,MC,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Paul Waring,-,-,24,-,-,-,-,MC,WD,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Peter Malnati,MC,-,-,-,-,53,MC,MC,MC,-,49,-,-,-,-,-,-,-,-,-,-,15,MC,-,500/1,Bet 365,Further details
Philip Knowles,65,-,-,-,-,-,-,MC,WD,MC^,-,-,-,-,-,-,-,-,-,-,48,-,-,-,2000/1,Bet 365,Further details
Quade Cummins,-,-,-,-,-,-,MC,34,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90/1,Bet 365,Further details
Ricky Castillo,-,-,-,-,-,-,MC,43,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Rikuya Hoshino,-,-,-,-,-,-,MC,43,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Riley Lewis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Ryan Gerard,-,-,-,-,-,-,37,51,15,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,50/1,Bet 365,Further details
Sam Ryder,MC,-,-,-,-,-,21,43,25,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,66/1,Bet 365,Further details
Steven Fisk,49,-,-,-,-,-,MC,MC,63,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Takumi Kanaya,16^,3^,-,-,-,-,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Taylor Dickson,-,-,-,-,-,-,72,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450/1,Bet 365,Further details
Taylor Montgomery,42,-,-,-,-,-,65,58,MC,-,69,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Taylor Moore,35,-,-,-,-,-,MC,7,56,22,9,-,-,-,-,-,-,-,-,-,-,MC,-,-,30/1,Bet 365,Further details
Thomas Rosenmueller,-,-,MC^,-,-,-,59,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Thriston Lawrence,-,-,14,MC,-,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Tim Widing,-,-,-,-,-,-,WD,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Trevor Cone,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,70,-,350/1,Bet 365,Further details
Trey Mullinax,MC,-,-,-,-,-,-,18,MC,-,32,-,-,-,-,-,-,-,-,-,-,24,-,-,100/1,Bet 365,Further details
Tyler McCumber,-,-,2^,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Vince Covello,-,-,-,-,-,-,65^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3000/1,Bet 365,Further details
Wesley Bryan,MC,-,-,-,-,-,-,MC,25,-,-,-,-,-,-,-,-,-,-,-,-,33,MC,-,TBC,Bet 365,Further details
Will Chandler,-,-,-,-,-,-,-,MC,MC,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
William Gordon,30,-,-,-,-,-,MC,66,7,-,69,-,-,-,-,-,-,-,-,-,-,-,24,-,125/1,Bet 365,Further details
William Mouw,-,-,-,-,-,-,MC,MC,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
Zac Blair,MC,-,-,-,-,-,-,MC,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Alejandro Tosti,MC,-,-,-,-,-,MC,58,MC,-,-,-,-,-,-,-,-,-,-,-,9,-,10,MC,80/1,Bet 365,Further details
Alex Smalley,MC,-,-,-,-,-,16,11,MC,-,21,-,-,-,-,-,-,-,-,-,-,6,MC,MC,40/1,Bet 365,Further details
Charley Hoffman,-,-,-,-,-,-,59,5,25,-,MC,-,-,-,-,-,-,-,-,-,-,-,55,MC,60/1,Bet 365,Further details
