am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour
0,DEN,396,22168,-0.80769503108513,257,Hamish Brown,CHA
0,USA,397,15980,-0.809859067564309,185,David Lipsky,PGA
0,USA,398,27762,-0.810291063800722,357,Kevin Velo,KFT
0,USA,399,28542,-0.81194810734716,437,Austin Hitt,KFT
0,ENG,400,15191,-0.820091852946829,364,Matthew Southgate,EURO
0,USA,401,14967,-0.820263739139867,356,Chesson Hadley,PGA
0,AUS,402,16842,-0.82090973693594,353,Curtis Luck,KFT
0,ITA,403,23549,-0.821444560897607,459,Filippo Celli,EURO
0,KOR,404,13498,-0.829298602126785,396,Junghwan Lee,KOR
0,GER,405,19899,-0.829607387485551,456,Max Rottluff,EURO
0,USA,406,23540,-0.835267054612824,370,Mason Andersen,PGA
0,NOR,407,21407,-0.840562727110564,383,Kristoffer Reitan,EURO
0,RSA,408,7679,-0.842385054379426,426,Thomas Aiken,EURO
0,ENG,409,1435,-0.842389651693575,501,Ian Poulter,LIV
0,USA,410,23502,-0.846222889218968,289,Braden Thornberry,KFT
0,RSA,411,874,-0.846257277751758,501,Ernie Els,CHAMP
0,USA,412,19738,-0.848317957047045,501,Kevin Dougherty,PGA
0,MEX,413,15394,-0.850770314033374,501,Roberto Diaz,KFT
0,NIR,414,7548,-0.854737263787504,501,Graeme McDowell,LIV
0,THA,415,12321,-0.856440657970476,318,Kiradech Aphibarnrat,EURO
0,FRA,416,23416,-0.856888153704796,196,David Ravetto,EURO
0,CAN,417,26617,-0.859767096647101,325,Matthew Anderson,PTA
0,MEX,418,26190,-0.859802397597827,411,Alvaro Ortiz,KFT
0,ENG,419,15113,-0.860186593672828,445,Eddie Pepperell,EURO
0,USA,420,14002,-0.863967960119408,438,Tyson Alexander,PGA
0,USA,421,11374,-0.87158196841271,501,James Hahn,PGA
0,AUT,422,9531,-0.875035743702654,247,Bernd Wiesberger,EURO
0,USA,423,29318,-0.887413293381687,304,Logan McAllister,KFT
0,USA,424,12477,-0.894061646382469,501,William McGirt,PGA
0,ENG,425,18555,-0.898738475111263,308,Jamie Rutherford,CHA
0,ENG,426,10873,-0.899673320304887,297,David Skinns,PGA
0,USA,427,28471,-0.901800154871981,321,Davis Shore,KFT
0,USA,428,29708,-0.902726663071787,501,Joey Vrzich,PTA
0,USA,429,23048,-0.904569937216729,414,Jimmy Stanger,PGA
0,ITA,430,26506,-0.906431868083634,501,Gregorio De Leo,CHA
0,RSA,431,19429,-0.915379694805104,245,Dylan Naidoo,AFR
0,KOR,432,20780,-0.920470563264199,261,Minkyu Kim,EURO
0,JPN,433,18809,-0.923143940068946,412,Tomoyo Ikemura,ASA
0,GER,434,8117,-0.936676047269498,501,Martin Kaymer,LIV
0,ENG,435,18244,-0.940705953266186,494,Callum Shinkwin,EURO
0,KOR,436,18484,-0.958301614755077,501,Hanbyeol Kim,KOR
0,JPN,437,14663,-0.965687738868467,501,Shunya Takeyasu,JPN
0,ENG,438,25588,-0.966552001585967,431,Andrew Wilson,EURO
1,USA,439,32089,-0.967125153244993,501,Preston Stout,AM
0,USA,440,31192,-0.974494479447607,428,Ross Steelman,KFT
0,USA,441,32449,-0.975417706957385,312,Ryggs Johnston,EURO
0,USA,442,32152,-0.975675078163062,501,Blades Brown,AM
0,CAN,443,14050,-0.976786139744441,422,Roger Sloan,PGA
0,PUR,444,12909,-0.977921183613045,197,Rafael Campos,PGA
0,USA,445,9643,-0.978960812264094,492,Ryan Blaum,KFT
0,ENG,446,27258,-0.980777712091769,488,Ben Schmidt,EURO
0,GER,447,12317,-0.989908870419532,421,Maximilian Kieffer,EURO
0,RSA,448,6304,-0.991157121626287,501,Jean Hugo,AFR
0,RSA,449,25888,-0.999543652447431,326,Deon Germishuys,EURO
0,NED,450,13374,-1.00464732442576,294,Darius Van Driel,EURO
0,KOR,451,7578,-1.00539640041409,501,Kyungnam Kang,KOR
0,FRA,452,18933,-1.00599361420454,244,Jeremy Gandon,KFT
0,CAN,453,15499,-1.00695221539916,501,Wil Bateman,KFT
0,ENG,454,20519,-1.00886338391341,466,Callum Tarren,PGA
0,NZL,455,24091,-1.01220616406726,449,Nick Voke,ASA
0,SCO,456,27147,-1.01295935160003,501,Euan Walker,CHA
0,USA,457,15427,-1.01390860560661,501,Brandon Harkins,KFT
0,RSA,458,13681,-1.02250126188798,501,Jacques Blaauw,AFR
0,JPN,459,21921,-1.02810006217562,338,Tatsunori Shogenji,ASA
0,USA,460,19869,-1.0302313830333,501,Jack Maguire,KFT
0,SCO,461,16475,-1.03146838627632,265,Grant Forrest,EURO
0,RSA,462,11852,-1.03291725232802,403,Jaco Ahlers,ASA
0,THA,463,18149,-1.03501679257511,392,Phachara Khongwatmai,ASA
1,ESP,464,28473,-1.03511261844979,501,Jose Luis Ballester Barrio,AM
0,USA,465,26531,-1.03563926012104,475,Thomas Walsh,KFT
0,RSA,466,30210,-1.03620591494453,401,Jonothan Broomhead,AFR
0,JPN,467,25263,-1.04832277408876,371,Kaito Onishi,PGA
0,CHI,468,19455,-1.04931999974373,501,Mito Pereira,LIV
0,THA,469,23378,-1.04953332069932,501,Chonlatit Chuenboonngam,ASA
0,NZL,470,11826,-1.05124101859941,501,Danny Lee,LIV
0,ESP,471,26008,-1.0571348357086,418,Manuel Elvira,EURO
0,RSA,472,24093,-1.05754428052183,235,Robin Williams,EURO
0,USA,473,30429,-1.05832200948983,501,Patrick Welch,KFT
0,JPN,474,16464,-1.05856616184612,464,Taichi Nabetani,JPN
0,USA,475,25363,-1.05867008021284,375,Hayden Buckley,PGA
0,USA,476,31285,-1.06684644394371,501,Bryce Lewis,PTA
0,FRA,477,25089,-1.07355761692716,501,Felix Mory,CHA
0,RSA,478,25829,-1.07424562572164,501,Martin Vorster,AFR
0,JPN,479,18994,-1.08037277718956,393,Naoyuki Kataoka,JPN
1,USA,480,30033816,-1.08407232280071,501,Jase Summy,AM
0,ENG,481,15115,-1.08731700919117,435,Jack Senior,EURO
0,USA,482,27597,-1.08821982861914,501,Andy Ogletree,LIV
1,USA,483,30039332,-1.08835581896905,501,Luke Colton,AM
0,ENG,484,4163,-1.09002085534555,501,Luke Donald,EURO
0,USA,485,14847,-1.09018697489556,441,Brandon Crick,KFT
0,AUS,486,24200,-1.09023460578645,216,Elvis Smylie,ANZ
0,USA,487,21889,-1.09109551710421,501,Jeffrey Kang,KFT
0,JPN,488,14371,-1.09567963429583,501,Taihei Sato,JPN
1,USA,489,30029770,-1.09641641707318,501,Carson Bacha,AM
0,JPN,490,25538,-1.09641755131223,501,Tomohiro Ishizaka,JPN
0,COL,491,16591,-1.09647232840171,501,Marcelo Rozo,KFT
0,IND,492,21234,-1.09661834352002,501,Rayhan Thomas,KFT
0,CAN,493,26143,-1.10047095776901,407,Myles Creighton,KFT
0,USA,494,13367,-1.10245740908988,382,Troy Merritt,PGA
0,KOR,495,25806,-1.10382781847234,386,Wooyoung Cho,ASA
0,USA,496,19453,-1.10578015781192,342,MJ Maguire,ASA
0,RSA,497,5754,-1.10980565957248,390,Darren Fichardt,EURO
0,USA,498,19364,-1.11126892339733,501,Richy Werenski,KFT
0,USA,499,26122,-1.11138432562775,501,Patrick Flavin,PTA
0,GER,500,27588,-1.11288078063261,372,Freddy Schott,EURO
