Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Bud Cauley,-,-,MC,-,-,-,52,61,-,-,MC,-,-,MC,MC,-,10,42,-,22,15,-,-,-,6400,Further details,200/1,Bet 365,Further details
Christopher Gotterup,MC,MC,-,MC,-,61,67,MC,MC,-,59,-,-,-,-,-,-,-,-,-,-,-,54,-,6400,Further details,225/1,Bet 365,Further details
Joe Highsmith,-,-,MC,-,-,MC^,57,MC,MC,MC,44,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details
Trace Crowe,-,22^,27,42^,-,-,MC,44,MC,MC,24,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Kevin Streelman,-,50,57,-,-,-,57,46,MC,-,64,-,-,-,-,-,-,72,-,MC,-,7,MC,MC,6400,Further details,275/1,Bet 365,Further details
Patton Kizzire,-,-,MC,-,-,-,20,MC,50,8,MC,-,-,-,-,-,53,24,-,13,51,MC,MC,MC,6400,Further details,275/1,Bet 365,Further details
Zac Blair,53,MC,24,-,26,-,MC,46,2,MC,MC,-,-,-,-,MC,-,80,MC,-,MC,-,-,MC,6400,Further details,225/1,Bet 365,Further details
Carl Yuan,-,MC,WD,-,-,-,20,MC,MC,MC,-,56,-,-,-,-,-,-,-,-,-,-,-,73,6300,Further details,TBC,Bet 365,Further details
Greyson Sigg,-,MC,MC,-,56,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,38,6300,Further details,275/1,Bet 365,Further details
Brandon Wu,-,MC,62,-,70,-,44,MC,10,MC,MC,-,-,-,-,-,-,-,-,-,-,-,8,58,6300,Further details,250/1,Bet 365,Further details
Martin Laird,-,37,MC,-,-,-,MC,MC,-,21,MC,-,-,-,14,59,63,WD,45,MC,-,MC,47,58,6300,Further details,275/1,Bet 365,Further details
Kevin Kisner,-,65,MC,-,-,-,MC,MC,64,-,33,-,-,-,8,-,10,42,-,-,3,1,WD,-,6300,Further details,300/1,Bet 365,Further details
Luke List,MC,MC,MC,-,-,MC,67,MC,MC,MC,MC,-,-,MC,-,-,MC,-,-,MC,66,MC,-,-,6300,Further details,250/1,Bet 365,Further details
Aaron Baddeley,-,-,MC,-,-,-,72,-,59,MC,53,-,-,MC,MC,MC,-,75,24,-,MC,MC,MC,MC,6300,Further details,450/1,Bet 365,Further details
Garrick Higgo,-,MC,42,-,-,-,MC,MC,63,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6300,Further details,300/1,Bet 365,Further details
