Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Luke List,-,-,-,11,-,MC,25,-,MC,29,-,MC,-,-,-,-,-,-,MC,MC,56,MC,-,6500,200/1,Bet 365,Further details,MC
Francesco Molinari,-,-,-,-,-,5,MC,-,MC,MC,-,14,-,MC,MC,6,-,7,6,MC,56,MC,42,6400,110/1,Bet 365,Further details,60
Danny Willett,-,-,-,-,-,MC,-,41,-,18,29,34,-,-,-,-,MC,MC,WD,MC,MC,-,-,6400,225/1,Bet 365,Further details,27
Matthew NeSmith,-,-,-,-,-,MC,MC,55,MC,MC,-,39,-,-,-,-,-,-,-,-,-,MC,MC,6400,400/1,Bet 365,Further details,MC
Brandon Wu,-,-,-,-,MC,MC,-,2,50,MC,14,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,19
Tyler Duncan,54^,-,-,-,MC,41,MC,-,MC,33,3,-,-,-,-,-,-,-,-,-,74,MC,-,6400,350/1,Bet 365,Further details,54
Callum Tarren,-,-,-,-,-,MC,25,65,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6400,750/1,Bet 365,Further details,MC
Adam Long,-,-,-,-,48,MC,73,48,42,50,MC,-,-,-,-,-,-,-,-,-,79,22,46,6300,500/1,Bet 365,Further details,MC
Mark Hubbard,-,-,-,-,MC,MC,-,20,MC,MC,42,-,-,-,-,-,-,-,MC,-,-,MC,-,6300,400/1,Bet 365,Further details,35
Kevin Streelman,-,-,-,-,MC,-,61,63,MC,50,-,MC,-,51,2,MC,MC,74,72,MC,MC,MC,22,6300,500/1,Bet 365,Further details,MC
Patton Kizzire,-,-,-,-,76,11,MC,-,MC,MC,-,MC,-,-,-,-,-,76,MC,MC,79,35,22,6300,300/1,Bet 365,Further details,65
Troy Merritt,-,-,-,-,65,MC,-,MC,MC,MC,-,MC,-,-,-,-,72,MC,MC,-,MC,MC,46,6300,600/1,Bet 365,Further details,MC
