Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Cody Gribble,-,-,MC,21,-,73,-,-,-,-,-,-,-,-,-,-,8,59,MC,-,-,-,-,MC,6200,Further details,750/1,Bet 365,Further details
Tyson Alexander,-,MC,MC,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,30,6100,Further details,1500/1,Bet 365,Further details
Austin Cook,-,-,MC,MC,MC,MC,-,MC^,WD^,MC^,-,-,-,-,-,-,-,-,-,MC,52,11,MC,56,6100,Further details,1000/1,Bet 365,Further details
"Blaine Hale, Jr.",-,44,52,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Camilo Villegas,-,MC,MC,MC,MC,-,WD,MC,-,-,-,-,-,26,-,MC,-,73,-,-,MC,-,-,-,6100,Further details,1000/1,Bet 365,Further details
Josh Teater,-,MC,MC,MC,MC,MC,-,MC,-,-,-,-,-,51,-,-,-,-,78,-,MC,-,-,-,6100,Further details,1000/1,Bet 365,Further details
Mike Weir,2^,WD^,-,7^,-,-,-,51^,20^,3^,-,-,-,62,MC,-,-,-,-,-,-,-,-,-,6100,Further details,1000/1,Bet 365,Further details
Philip Knowles,68^,-,-,-,-,-,MC^,MC^,13^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6100,Further details,750/1,Bet 365,Further details
Scott Gutschewski,-,MC,61,MC,64,MC,-,21^,30^,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,6100,Further details,500/1,Bet 365,Further details
Tom Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,6000,Further details,2500/1,Bet 365,Further details
Erik Barnes,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,1500/1,Bet 365,Further details
Paul Barjon,-,MC,MC,67,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,6000,Further details,1000/1,Bet 365,Further details
Raul Pereda,-,MC,MC,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,4000/1,Bet 365,Further details
Ryan Brehm,-,MC,MC,MC,56,MC,-,MC,-,-,-,-,-,-,-,-,69,-,-,MC,MC,-,MC,-,6000,Further details,1000/1,Bet 365,Further details
Tim Wilkinson,70^,MC,-,-,MC,-,-,-,-,-,-,-,-,MC,65,-,-,-,-,-,36,-,-,-,6000,Further details,2000/1,Bet 365,Further details
J.B. Holmes,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,9,-,46,MC,-,MC,6000,Further details,2000/1,Bet 365,Further details
Nick Watney,-,-,MC,MC,63,MC,-,-,-,MC,-,-,-,-,-,64,35,-,MC,10,46,30,70,MC,6000,Further details,4000/1,Bet 365,Further details
Jimmy Walker,-,MC,-,-,-,-,-,-,-,-,-,-,-,1,63,-,-,-,-,-,-,-,25,30,-,Further details,TBC,Bet 365,Further details
Sunghoon Kang,-,-,-,MC,MC,-,-,-,28,37,MC,MC,-,-,-,-,MC,62,83,MC,-,47,MC,65,-,Further details,TBC,Bet 365,Further details
David Hearn,-,-,-,-,-,-,-,-,-,-,-,-,-,21,68,MC,MC,54,86,52,14,MC,-,-,-,Further details,TBC,Bet 365,Further details
Adam Long,-,MC^,MC,MC,-,MC,27^,MC^,MC^,MC^,-,-,-,-,-,-,-,-,63,23,-,MC,MC,MC,-,Further details,TBC,Bet 365,Further details
Jim Herman,-,-,-,MC,-,-,-,MC,-,-,-,-,-,26,MC,72,-,-,MC,-,-,42,MC,MC,-,Further details,TBC,Bet 365,Further details
Jonathan Byrd,-,-,-,50,44^,53^,-,53^,50^,MC^,-,-,-,-,-,-,-,-,75,-,61,MC,-,MC,-,Further details,TBC,Bet 365,Further details
Marty Dou Zecheng,31^,-,MC,MC,-,-,53,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,21,MC,-,Further details,TBC,Bet 365,Further details
Paul Haley II,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,MC,-,Further details,TBC,Bet 365,Further details
Tommy Gainey,-,MC^,-,MC,2^,WD^,MC^,MC^,71^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,Further details,TBC,Bet 365,Further details
Dylan Frittelli,MC,33,52,MC,MC,MC,-,-,-,MC,39,MC,-,-,-,-,-,-,25,7,-,MC,MC,MC,-,Further details,TBC,Bet 365,Further details
Mark Hubbard,-,52,32,MC,17,-,-,MC,61,-,-,-,-,69,53,30,MC,-,-,13,MC,16,21,17,-,Further details,TBC,Bet 365,Further details
Sangmoon Bae,10^,-,-,-,MC,-,-,17^,-,-,-,-,-,-,1,-,-,MC,MC,MC,MC,-,-,52,-,Further details,TBC,Bet 365,Further details
Cole Sherwood,-,18^,MC,-,33^,MC^,MC^,29^,MC^,-,32^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Sam Choi,-,MC^,-,-,31^,42^,19^,MC^,MC^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
