Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Luke Donald,-,67,23^^,-,MC,-,MC,40,38,-,-,47,-,46,53,MC,49,6300,Further details,300/1,Bet 365,Further details,52
Brandt Snedeker,-,-,-,-,-,-,-,-,41,MC,-,-,-,5,MC,38,-,6300,Further details,400/1,Bet 365,Further details,MC
Ryan Armour,-,-,MC^^,MC,56,50,-,-,-,MC,MC,-,-,46,4,MC,-,6300,Further details,500/1,Bet 365,Further details,MC
Tano Goya,-,-,MC^^,60,-,50,-,MC^,MC^,-,-,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details,MC
Brent Grant,-,-,MC^^,MC,MC,83,-,-,-,52,MC,21^,-,-,-,-,-,6300,Further details,400/1,Bet 365,Further details,MC
Martin Laird,-,MC,-,MC,MC,34,-,-,-,MC,-,MC,-,MC,-,MC,-,6300,Further details,400/1,Bet 365,Further details,70
Satoshi Kodaira,-,MC,MC^,49,-,43,-,MC^,WD^,-,52^,-,-,MC,-,MC,MC,6300,Further details,400/1,Bet 365,Further details,40
Ryan Moore,-,MC,-,33,MC,MC,-,-,-,25,-,MC,-,MC,-,-,MC,6300,Further details,400/1,Bet 365,Further details,64
Cameron Percy,-,-,MC^^,60,-,MC,-,-,-,52,-,-,-,-,MC,41,WD,6300,Further details,400/1,Bet 365,Further details,MC
Richy Werenski,-,MC,MC^^,46,MC,11,-,MC,-,65,-,MC,-,MC,21,25,30,6200,Further details,500/1,Bet 365,Further details,MC
Russell Knox,-,MC,MC^^,-,MC,MC,-,72,-,MC,-,49,-,-,MC,41,37,6200,Further details,400/1,Bet 365,Further details,47
Austin Cook,-,-,MC^^,39,MC,MC,-,-,-,MC,-,-,-,MC,39,MC,57,6200,Further details,500/1,Bet 365,Further details,MC
David Lingmerth,-,-,MC^^,-,47,-,MC,MC,MC,WD,-,MC,-,-,-,-,57,6200,Further details,350/1,Bet 365,Further details,MC
Trevor Cone,-,-,MC^^,70,MC,23,-,MC^,MC^,68,-,-,-,-,-,-,-,6200,Further details,600/1,Bet 365,Further details,40
Aldrich Potgieter,MC,-,-,-,-,-,-,-,MC,-,64,35^,-,-,-,-,-,6200,Further details,400/1,Bet 365,Further details,MC
Paul Haley II,-,-,MC^^,MC,MC,MC,-,5,-,MC,MC,MC,-,-,-,-,-,6200,Further details,600/1,Bet 365,Further details,83
Hank Lebioda,-,-,34^^,MC,-,-,-,MC^,-,MC,MC,-,-,MC,MC,4,MC,6200,Further details,600/1,Bet 365,Further details,64
Matthias Schwab,-,MC,9^^,MC,MC,MC,-,70,-,MC,-,MC,-,-,-,-,MC,6200,Further details,400/1,Bet 365,Further details,83
Ryan Brehm,-,MC,-,-,-,64,-,-,-,MC,-,MC,-,-,MC,67,57,6100,Further details,750/1,Bet 365,Further details,81
Kevin Roy,-,MC^,MC^^,18,-,MC,-,MC^,63^,MC,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details,MC
Kyle Westmoreland,-,-,MC^^,MC,-,MC,-,MC,5^,MC,-,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details,78
Scott Harrington,-,-,MC^^,MC,-,50,-,-,37^,MC,-,-,-,-,39,MC,-,6100,Further details,750/1,Bet 365,Further details,MC
Ross Steelman,-,-,-,-,-,-,-,-,-,-,43^,58^,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details,MC
Jason Dufner,-,MC,MC^^,-,MC,MC,-,-,MC,52,-,MC,-,MC,MC,MC,-,6100,Further details,600/1,Bet 365,Further details,MC
Kelly Kraft,-,MC,MC^^,MC,MC,79,-,-,-,MC,-,38,-,MC,-,-,MC,6100,Further details,750/1,Bet 365,Further details,40
Brandon Matthews,-,-,7^^,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,MC,6100,Further details,600/1,Bet 365,Further details,MC
Martin Trainer,-,-,9^^,MC,-,MC,-,-,-,72,-,-,-,MC,MC,MC,MC,6100,Further details,500/1,Bet 365,Further details,MC
Robert Streb,-,MC,13^^,-,MC,67,-,-,-,MC,-,MC,-,MC,MC,38,MC,6100,Further details,600/1,Bet 365,Further details,56
Nick Watney,-,-,19^^,MC,MC,MC,-,-,-,MC,-,MC,-,46,-,MC,30,6000,Further details,1500/1,Bet 365,Further details,56
Chase Johnson,-,72^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,600/1,Bet 365,Further details,64
Kyle Martin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Trevor Werbylo,-,-,MC^^,30,-,MC,-,-,-,MC,-,-,-,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details,MC
Tyson Alexander,-,-,MC^^,MC,MC,MC,-,MC,-,MC,-,MC,-,-,-,-,-,6000,Further details,750/1,Bet 365,Further details,MC
Chad Collins,-,MC^,MC^^,-,-,-,-,MC^,MC^,-,-,WD^,-,64,-,-,-,6000,Further details,2500/1,Bet 365,Further details,MC
Andrew Landry,-,MC,MC^^,-,MC,MC,-,-,-,57,-,67,-,59,-,MC,MC,6000,Further details,1000/1,Bet 365,Further details,64
Brian Stuard,-,-,MC^^,MC,-,MC,-,-,-,MC,-,-,-,5,30,MC,MC,6000,Further details,1000/1,Bet 365,Further details,MC
Michael Gligic,-,71^,13^^,39,-,MC,-,-,-,MC,-,-,-,-,MC,41,MC,6000,Further details,750/1,Bet 365,Further details,MC
Max McGreevy,-,63,MC^^,MC,MC,MC,-,-,-,MC,MC^,MC,-,-,-,-,MC,6000,Further details,1500/1,Bet 365,Further details,MC
Sunghoon Kang,-,-,MC^^,MC,-,14,-,-,-,57,-,-,-,MC,-,74,37,-,Further details,TBC,Bet 365,Further details,NR
Wesley Bryan,-,MC,33^^,MC,-,MC,-,-,-,MC,-,-,-,-,21,-,57,-,Further details,TBC,Bet 365,Further details,NR
William McGirt,-,-,MC^^,MC,-,64,-,-,MC,MC,-,-,-,-,-,MC,75,-,Further details,TBC,Bet 365,Further details,NR
Chris Stroud,-,-,MC^^,MC,-,50,-,-,-,MC,-,-,-,WD,30,-,-,-,Further details,TBC,Bet 365,Further details,MC
Cody Gribble,-,-,MC^^,55,-,MC,-,63,-,34,-,-,-,MC,-,-,-,-,Further details,TBC,Bet 365,Further details,MC
Ricky Barnes,-,-,MC^^,MC,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,-,Further details,TBC,Bet 365,Further details,NR
Fabian Gomez,-,60^,35^^,MC,-,77,MC^,MC^,-,-,53^,62^,-,MC,30,14,-,-,Further details,TBC,Bet 365,Further details,NR
Kevin Chappell,-,-,MC^^,24,-,MC,-,-,-,MC,-,-,-,-,62,-,MC,-,Further details,TBC,Bet 365,Further details,NR
Sean O'Hair,-,-,7^^,MC,-,50,-,-,-,MC,-,-,-,-,-,32,MC,-,Further details,TBC,Bet 365,Further details,MC
Seung-Yul Noh,-,-,19^^,46,-,74,-,-,-,38,-,-,-,-,57,-,MC,-,Further details,TBC,Bet 365,Further details,70
